onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
n/a	n/a	4	1	1	3	3	17	3	2	2951.189914	2952.380869
n/a	n/a	4	2	1	3	3	17	3	2	2952.389081	2953.580676
n/a	n/a	4	3	1	3	3	17	3	2	2953.588944	2954.780554
n/a	n/a	4	4	1	3	3	17	3	2	2954.788751	2955.980378
n/a	n/a	4	5	1	3	3	17	3	2	2955.989214	2957.180805
n/a	n/a	4	6	1	3	3	17	3	2	2957.188457	2958.379982
n/a	n/a	4	7	1	3	3	17	3	2	2958.388193	2959.57975
n/a	n/a	4	8	1	3	3	17	3	2	2959.588117	2960.779591
n/a	n/a	4	9	1	3	3	17	3	2	2960.787853	2961.979404
n/a	n/a	4	10	1	3	3	17	3	2	2961.987673	2963.179262
n/a	n/a	4	11	1	3	3	17	3	2	2963.187524	2964.379051
n/a	n/a	4	12	1	3	3	17	3	2	2964.387331	2965.57893
n/a	n/a	4	13	1	3	3	17	3	2	2965.587241	2966.77876
n/a	n/a	4	14	1	3	3	17	3	2	2966.787013	2967.978588
n/a	n/a	4	15	1	3	3	17	3	2	2967.986852	2969.178458
n/a	n/a	4	16	1	3	3	17	3	2	2969.186719	2970.37827
n/a	n/a	4	17	1	2	2	1	1	1	2970.403728	2971.594772
n/a	n/a	4	18	1	2	2	1	2	1	2971.60303	2972.794601
n/a	n/a	4	19	1	2	2	1	1	1	2972.802865	2973.994425
n/a	n/a	4	20	1	2	2	1	2	1	2974.002685	2975.194261
n/a	n/a	4	21	1	2	2	1	1	1	2975.202543	2976.394126
n/a	n/a	4	22	1	2	2	1	2	1	2976.402377	2977.593949
n/a	n/a	4	23	1	2	2	1	1	1	2977.602213	2978.794065
n/a	n/a	4	24	1	2	2	1	2	1	2978.80235	2979.993651
n/a	n/a	4	25	1	2	2	1	1	1	2980.001884	2981.19341
n/a	n/a	4	26	1	2	2	1	2	1	2981.201696	2982.393238
n/a	n/a	4	27	1	2	2	1	1	1	2982.401506	2983.59307
n/a	n/a	4	28	1	2	2	1	2	1	2983.601342	2984.792908
n/a	n/a	4	29	1	2	2	1	1	1	2984.80121	2985.992748
n/a	n/a	4	30	1	2	2	1	2	1	2986.001017	2987.192609
n/a	n/a	4	31	1	2	2	1	1	1	2987.20086	2988.392451
n/a	n/a	4	32	1	2	2	1	2	1	2988.400707	2989.592253
n/a	n/a	4	33	1	2	2	1	1	1	2989.600523	2990.792102
n/a	n/a	4	34	1	2	2	1	2	1	2990.800371	2991.991942
n/a	n/a	4	35	1	2	2	1	1	1	2992.000213	2993.191747
n/a	n/a	4	36	1	2	2	1	2	1	2993.200021	2994.39159
n/a	n/a	4	37	1	2	2	1	1	1	2994.399869	2995.591461
n/a	n/a	4	38	1	2	2	1	2	1	2995.599733	2996.791289
n/a	n/a	4	39	1	2	2	1	1	1	2996.799554	2997.991167
n/a	n/a	4	40	1	2	2	1	2	1	2997.999427	2999.190972
n/a	n/a	4	41	1	2	2	1	1	1	2999.199232	3000.390812
n/a	n/a	4	42	1	2	2	1	2	1	3000.399052	3001.590615
n/a	n/a	4	43	1	2	2	1	1	1	3001.598873	3002.790466
n/a	n/a	4	44	1	2	2	1	2	1	3002.798735	3003.990266
n/a	n/a	4	45	1	2	2	1	1	1	3003.99854	3005.19056
n/a	n/a	4	46	1	2	2	1	2	1	3005.198806	3006.389957
n/a	n/a	4	47	1	2	2	1	1	1	3006.398228	3007.589793
n/a	n/a	4	48	1	2	2	1	2	1	3007.598063	3008.789653
n/a	n/a	4	49	1	3	3	17	3	2	3008.798211	3009.989502
n/a	n/a	4	50	1	3	3	17	3	2	3009.997741	3011.18935
n/a	n/a	4	51	1	3	3	17	3	2	3011.197618	3012.389173
n/a	n/a	4	52	1	3	3	17	3	2	3012.397454	3013.589009
n/a	n/a	4	53	1	3	3	17	3	2	3013.597281	3014.78885
n/a	n/a	4	54	1	3	3	17	3	2	3014.797109	3015.988698
n/a	n/a	4	55	1	3	3	17	3	2	3015.996988	3017.188544
n/a	n/a	4	56	1	3	3	17	3	2	3017.196779	3018.388325
n/a	n/a	4	57	1	3	3	17	3	2	3018.396591	3019.588173
n/a	n/a	4	58	1	3	3	17	3	2	3019.596437	3020.788001
n/a	n/a	4	59	1	3	3	17	3	2	3020.796262	3021.987828
n/a	n/a	4	60	1	3	3	17	3	2	3021.996102	3023.187662
n/a	n/a	4	61	1	3	3	17	3	2	3023.195934	3024.3875
n/a	n/a	4	62	1	3	3	17	3	2	3024.395769	3025.587339
n/a	n/a	4	63	1	3	3	17	3	2	3025.595615	3026.78718
n/a	n/a	4	64	1	3	3	17	3	2	3026.795445	3027.987012
n/a	n/a	4	65	1	2	1	1	1	1	3027.995276	3029.18685
n/a	n/a	4	66	1	2	1	1	2	1	3029.195117	3030.38668
n/a	n/a	4	67	1	2	1	1	1	1	3030.394949	3031.586553
n/a	n/a	4	68	1	2	1	1	2	1	3031.594813	3032.786378
n/a	n/a	4	69	1	2	1	1	1	1	3032.794649	3033.986188
n/a	n/a	4	70	1	2	1	1	2	1	3033.994458	3035.186032
n/a	n/a	4	71	1	2	1	1	1	1	3035.194296	3036.385866
n/a	n/a	4	72	1	2	1	1	2	1	3036.394133	3037.585703
n/a	n/a	4	73	1	2	1	1	1	1	3037.593971	3038.785535
n/a	n/a	4	74	1	2	1	1	2	1	3038.793807	3039.985371
n/a	n/a	4	75	1	2	1	1	1	1	3039.993648	3041.185208
n/a	n/a	4	76	1	2	1	1	2	1	3041.193482	3042.385056
n/a	n/a	4	77	1	2	1	1	1	1	3042.393368	3043.584874
n/a	n/a	4	78	1	2	1	1	2	1	3043.593142	3044.784702
n/a	n/a	4	79	1	2	1	1	1	1	3044.792975	3045.984547
n/a	n/a	4	80	1	2	1	1	2	1	3045.992812	3047.184384
n/a	n/a	4	81	1	2	1	1	1	1	3047.192653	3048.384214
n/a	n/a	4	82	1	2	1	1	2	1	3048.392487	3049.584064
n/a	n/a	4	83	1	2	1	1	1	1	3049.592325	3050.783904
n/a	n/a	4	84	1	2	1	1	2	1	3050.792173	3051.983724
n/a	n/a	4	85	1	2	1	1	1	1	3051.992004	3053.183593
n/a	n/a	4	86	1	2	1	1	2	1	3053.191864	3054.383421
n/a	n/a	4	87	1	2	1	1	1	1	3054.391685	3055.583263
n/a	n/a	4	88	1	2	1	1	2	1	3055.591524	3056.783093
n/a	n/a	4	89	1	2	1	1	1	1	3056.791359	3057.982928
n/a	n/a	4	90	1	2	1	1	2	1	3057.991197	3059.18279
n/a	n/a	4	91	1	2	1	1	1	1	3059.191062	3060.382601
n/a	n/a	4	92	1	2	1	1	2	1	3060.390871	3061.58245
n/a	n/a	4	93	1	2	1	1	1	1	3061.590707	3062.782275
n/a	n/a	4	94	1	2	1	1	2	1	3062.790546	3063.982123
n/a	n/a	4	95	1	2	1	1	1	1	3063.99041	3065.181987
n/a	n/a	4	96	1	2	1	1	2	1	3065.190251	3066.381812
n/a	n/a	4	97	1	3	3	17	3	2	3066.390086	3067.581638
n/a	n/a	4	98	1	3	3	17	3	2	3067.589888	3068.781449
n/a	n/a	4	99	1	3	3	17	3	2	3068.78972	3069.981291
n/a	n/a	4	100	1	3	3	17	3	2	3069.989558	3071.181121
n/a	n/a	4	101	1	3	3	17	3	2	3071.189398	3072.380967
n/a	n/a	4	102	1	3	3	17	3	2	3072.389235	3073.580807
n/a	n/a	4	103	1	3	3	17	3	2	3073.589068	3074.780652
n/a	n/a	4	104	1	3	3	17	3	2	3074.788925	3075.980488
n/a	n/a	4	105	1	3	3	17	3	2	3075.988748	3077.180318
n/a	n/a	4	106	1	3	3	17	3	2	3077.188586	3078.380154
n/a	n/a	4	107	1	3	3	17	3	2	3078.388428	3079.580003
n/a	n/a	4	108	1	3	3	17	3	2	3079.588264	3080.779831
n/a	n/a	4	109	1	3	3	17	3	2	3080.788101	3081.979674
n/a	n/a	4	110	1	3	3	17	3	2	3081.987938	3083.179507
n/a	n/a	4	111	1	3	3	17	3	2	3083.187773	3084.379343
n/a	n/a	4	112	1	3	3	17	3	2	3084.387611	3085.579185
n/a	n/a	4	113	1	2	2	1	1	1	3085.587446	3086.779016
n/a	n/a	4	114	1	2	2	1	2	1	3086.787282	3087.978854
n/a	n/a	4	115	1	2	2	1	1	1	3087.987117	3089.178688
n/a	n/a	4	116	1	2	2	1	2	1	3089.186955	3090.378528
n/a	n/a	4	117	1	2	2	1	1	1	3090.386796	3091.578364
n/a	n/a	4	118	1	2	2	1	2	1	3091.586629	3092.778185
n/a	n/a	4	119	1	2	2	1	1	1	3092.786461	3093.978037
n/a	n/a	4	120	1	2	2	1	2	1	3093.986309	3095.177884
n/a	n/a	4	121	1	2	2	1	1	1	3095.186137	3096.377706
n/a	n/a	4	122	1	2	2	1	2	1	3096.385983	3097.577585
n/a	n/a	4	123	1	2	2	1	1	1	3097.585847	3098.777382
n/a	n/a	4	124	1	2	2	1	2	1	3098.785678	3099.977228
n/a	n/a	4	125	1	2	2	1	1	1	3099.98552	3101.177053
n/a	n/a	4	126	1	2	2	1	2	1	3101.185338	3102.376894
n/a	n/a	4	127	1	2	2	1	1	1	3102.385159	3103.576727
n/a	n/a	4	128	1	2	2	1	2	1	3103.584993	3104.776576
n/a	n/a	4	129	1	2	2	1	1	1	3104.784852	3105.976416
n/a	n/a	4	130	1	2	2	1	2	1	3105.984687	3107.176255
n/a	n/a	4	131	1	2	2	1	1	1	3107.184525	3108.376141
n/a	n/a	4	132	1	2	2	1	2	1	3108.384366	3109.575931
