onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
n/a	n/a	2	1	1	3	3	17	3	2	1285.275643	1286.467006
n/a	n/a	2	2	1	3	3	17	3	2	1286.475177	1287.666769
n/a	n/a	2	3	1	3	3	17	3	2	1287.674988	1288.866605
n/a	n/a	2	4	1	3	3	17	3	2	1288.874815	1290.066427
n/a	n/a	2	5	1	3	3	17	3	2	1290.07524	1291.266836
n/a	n/a	2	6	1	3	3	17	3	2	1291.274531	1292.466016
n/a	n/a	2	7	1	3	3	17	3	2	1292.474238	1293.665878
n/a	n/a	2	8	1	3	3	17	3	2	1293.674233	1294.865626
n/a	n/a	2	9	1	3	3	17	3	2	1294.873904	1296.065457
n/a	n/a	2	10	1	3	3	17	3	2	1296.073758	1297.265294
n/a	n/a	2	11	1	3	3	17	3	2	1297.273564	1298.465152
n/a	n/a	2	12	1	3	3	17	3	2	1298.473421	1299.664984
n/a	n/a	2	13	1	3	3	17	3	2	1299.673228	1300.864811
n/a	n/a	2	14	1	3	3	17	3	2	1300.873059	1302.064626
n/a	n/a	2	15	1	3	3	17	3	2	1302.072914	1303.26445
n/a	n/a	2	16	1	3	3	17	3	2	1303.272711	1304.464284
n/a	n/a	2	17	1	2	2	1	1	1	1304.489734	1305.680779
n/a	n/a	2	18	1	2	2	1	2	1	1305.689053	1306.880614
n/a	n/a	2	19	1	2	2	1	1	1	1306.888878	1308.080455
n/a	n/a	2	20	1	2	2	1	2	1	1308.088724	1309.280307
n/a	n/a	2	21	1	2	2	1	1	1	1309.28857	1310.48013
n/a	n/a	2	22	1	2	2	1	2	1	1310.488394	1311.679984
n/a	n/a	2	23	1	2	2	1	1	1	1311.688227	1312.879793
n/a	n/a	2	24	1	2	2	1	2	1	1312.888064	1314.079626
n/a	n/a	2	25	1	2	2	1	1	1	1314.087919	1315.279559
n/a	n/a	2	26	1	2	2	1	2	1	1315.287954	1316.479279
n/a	n/a	2	27	1	2	2	1	1	1	1316.487544	1317.679114
n/a	n/a	2	28	1	2	2	1	2	1	1317.687386	1318.878962
n/a	n/a	2	29	1	2	2	1	1	1	1318.887213	1320.078813
n/a	n/a	2	30	1	2	2	1	2	1	1320.087075	1321.278609
n/a	n/a	2	31	1	2	2	1	1	1	1321.286877	1322.47844
n/a	n/a	2	32	1	2	2	1	2	1	1322.486715	1323.678276
n/a	n/a	2	33	1	2	2	1	1	1	1323.686547	1324.87811
n/a	n/a	2	34	1	2	2	1	2	1	1324.886377	1326.077937
n/a	n/a	2	35	1	2	2	1	1	1	1326.08621	1327.277794
n/a	n/a	2	36	1	2	2	1	2	1	1327.28606	1328.477608
n/a	n/a	2	37	1	2	2	1	1	1	1328.485876	1329.677439
n/a	n/a	2	38	1	2	2	1	2	1	1329.685712	1330.877363
n/a	n/a	2	39	1	2	2	1	1	1	1330.885591	1332.077163
n/a	n/a	2	40	1	2	2	1	2	1	1332.085426	1333.276989
n/a	n/a	2	41	1	2	2	1	1	1	1333.285245	1334.476809
n/a	n/a	2	42	1	2	2	1	2	1	1334.485075	1335.676659
n/a	n/a	2	43	1	2	2	1	1	1	1335.684913	1336.876477
n/a	n/a	2	44	1	2	2	1	2	1	1336.884743	1338.076335
n/a	n/a	2	45	1	2	2	1	1	1	1338.084591	1339.276165
n/a	n/a	2	46	1	2	2	1	2	1	1339.284424	1340.475993
n/a	n/a	2	47	1	2	2	1	1	1	1340.484259	1341.67582
n/a	n/a	2	48	1	2	2	1	2	1	1341.68408	1342.875622
n/a	n/a	2	49	1	3	3	17	3	2	1342.883897	1344.075453
n/a	n/a	2	50	1	3	3	17	3	2	1344.083716	1345.275292
n/a	n/a	2	51	1	3	3	17	3	2	1345.28355	1346.475134
n/a	n/a	2	52	1	3	3	17	3	2	1346.483399	1347.674956
n/a	n/a	2	53	1	3	3	17	3	2	1347.683222	1348.874786
n/a	n/a	2	54	1	3	3	17	3	2	1348.88305	1350.074616
n/a	n/a	2	55	1	3	3	17	3	2	1350.082883	1351.274867
n/a	n/a	2	56	1	3	3	17	3	2	1351.283042	1352.47431
n/a	n/a	2	57	1	3	3	17	3	2	1352.482565	1353.674148
n/a	n/a	2	58	1	3	3	17	3	2	1353.682401	1354.873945
n/a	n/a	2	59	1	3	3	17	3	2	1354.882236	1356.073797
n/a	n/a	2	60	1	3	3	17	3	2	1356.082067	1357.273704
n/a	n/a	2	61	1	3	3	17	3	2	1357.281893	1358.473472
n/a	n/a	2	62	1	3	3	17	3	2	1358.481735	1359.673297
n/a	n/a	2	63	1	3	3	17	3	2	1359.681581	1360.873133
n/a	n/a	2	64	1	3	3	17	3	2	1360.8814	1362.072981
n/a	n/a	2	65	1	2	1	1	1	1	1362.081254	1363.272813
n/a	n/a	2	66	1	2	1	1	2	1	1363.281077	1364.472628
n/a	n/a	2	67	1	2	1	1	1	1	1364.480896	1365.672482
n/a	n/a	2	68	1	2	1	1	2	1	1365.680744	1366.872304
n/a	n/a	2	69	1	2	1	1	1	1	1366.880569	1368.07217
n/a	n/a	2	70	1	2	1	1	2	1	1368.08043	1369.271981
n/a	n/a	2	71	1	2	1	1	1	1	1369.28026	1370.471806
n/a	n/a	2	72	1	2	1	1	2	1	1370.480071	1371.671639
n/a	n/a	2	73	1	2	1	1	1	1	1371.679906	1372.871488
n/a	n/a	2	74	1	2	1	1	2	1	1372.879754	1374.071306
n/a	n/a	2	75	1	2	1	1	1	1	1374.07955	1375.271115
n/a	n/a	2	76	1	2	1	1	2	1	1375.279386	1376.470984
n/a	n/a	2	77	1	2	1	1	1	1	1376.479249	1377.670777
n/a	n/a	2	78	1	2	1	1	2	1	1377.679037	1378.870604
n/a	n/a	2	79	1	2	1	1	1	1	1378.878873	1380.070437
n/a	n/a	2	80	1	2	1	1	2	1	1380.079095	1381.270275
n/a	n/a	2	81	1	2	1	1	1	1	1381.27855	1382.470104
n/a	n/a	2	82	1	2	1	1	2	1	1382.478376	1383.669936
n/a	n/a	2	83	1	2	1	1	1	1	1383.678212	1384.869774
n/a	n/a	2	84	1	2	1	1	2	1	1384.878046	1386.069604
n/a	n/a	2	85	1	2	1	1	1	1	1386.07788	1387.269444
n/a	n/a	2	86	1	2	1	1	2	1	1387.277713	1388.469282
n/a	n/a	2	87	1	2	1	1	1	1	1388.477548	1389.669108
n/a	n/a	2	88	1	2	1	1	2	1	1389.67738	1390.868945
n/a	n/a	2	89	1	2	1	1	1	1	1390.877218	1392.06878
n/a	n/a	2	90	1	2	1	1	2	1	1392.077052	1393.268601
n/a	n/a	2	91	1	2	1	1	1	1	1393.276887	1394.468476
n/a	n/a	2	92	1	2	1	1	2	1	1394.476741	1395.668324
n/a	n/a	2	93	1	2	1	1	1	1	1395.676588	1396.868142
n/a	n/a	2	94	1	2	1	1	2	1	1396.876407	1398.067981
n/a	n/a	2	95	1	2	1	1	1	1	1398.076221	1399.267824
n/a	n/a	2	96	1	2	1	1	2	1	1399.276091	1400.467643
n/a	n/a	2	97	1	3	3	17	3	2	1400.475901	1401.667486
n/a	n/a	2	98	1	3	3	17	3	2	1401.675738	1402.867301
n/a	n/a	2	99	1	3	3	17	3	2	1402.875583	1404.067141
n/a	n/a	2	100	1	3	3	17	3	2	1404.075418	1405.26702
n/a	n/a	2	101	1	3	3	17	3	2	1405.275258	1406.466838
n/a	n/a	2	102	1	3	3	17	3	2	1406.475103	1407.66666
n/a	n/a	2	103	1	3	3	17	3	2	1407.67491	1408.866497
n/a	n/a	2	104	1	3	3	17	3	2	1408.874772	1410.066327
n/a	n/a	2	105	1	3	3	17	3	2	1410.074625	1411.266623
n/a	n/a	2	106	1	3	3	17	3	2	1411.274467	1412.466003
n/a	n/a	2	107	1	3	3	17	3	2	1412.474275	1413.665842
n/a	n/a	2	108	1	3	3	17	3	2	1413.674115	1414.865667
n/a	n/a	2	109	1	3	3	17	3	2	1414.873934	1416.065486
n/a	n/a	2	110	1	3	3	17	3	2	1416.073758	1417.265326
n/a	n/a	2	111	1	3	3	17	3	2	1417.273588	1418.46518
n/a	n/a	2	112	1	3	3	17	3	2	1418.473446	1419.665025
n/a	n/a	2	113	1	2	2	1	1	1	1419.6818	1420.87319
n/a	n/a	2	114	1	2	2	1	2	1	1420.881447	1422.073001
n/a	n/a	2	115	1	2	2	1	1	1	1422.081255	1423.272883
n/a	n/a	2	116	1	2	2	1	2	1	1423.281123	1424.472667
n/a	n/a	2	117	1	2	2	1	1	1	1424.480948	1425.672533
n/a	n/a	2	118	1	2	2	1	2	1	1425.680777	1426.872349
n/a	n/a	2	119	1	2	2	1	1	1	1426.880606	1428.072205
n/a	n/a	2	120	1	2	2	1	2	1	1428.08046	1429.272019
n/a	n/a	2	121	1	2	2	1	1	1	1429.280286	1430.471851
n/a	n/a	2	122	1	2	2	1	2	1	1430.480115	1431.671689
n/a	n/a	2	123	1	2	2	1	1	1	1431.679954	1432.871507
n/a	n/a	2	124	1	2	2	1	2	1	1432.879776	1434.071386
n/a	n/a	2	125	1	2	2	1	1	1	1434.07965	1435.271193
n/a	n/a	2	126	1	2	2	1	2	1	1435.27943	1436.471033
n/a	n/a	2	127	1	2	2	1	1	1	1436.479292	1437.670866
n/a	n/a	2	128	1	2	2	1	2	1	1437.679131	1438.870684
n/a	n/a	2	129	1	2	2	1	1	1	1438.878945	1440.070519
n/a	n/a	2	130	1	2	2	1	2	1	1440.078784	1441.270371
n/a	n/a	2	131	1	2	2	1	1	1	1441.278613	1442.47023
n/a	n/a	2	132	1	2	2	1	2	1	1442.478487	1443.670007
n/a	n/a	2	133	1	2	2	1	1	1	1443.678277	1444.869893
n/a	n/a	2	134	1	2	2	1	2	1	1444.878134	1446.069701
n/a	n/a	2	135	1	2	2	1	1	1	1446.077976	1447.269517
n/a	n/a	2	136	1	2	2	1	2	1	1447.277795	1448.469367
n/a	n/a	2	137	1	2	2	1	1	1	1448.477646	1449.669205
n/a	n/a	2	138	1	2	2	1	2	1	1449.677481	1450.869072
n/a	n/a	2	139	1	2	2	1	1	1	1450.877313	1452.068826
n/a	n/a	2	140	1	2	2	1	2	1	1452.077103	1453.268666
n/a	n/a	2	141	1	2	2	1	1	1	1453.276937	1454.468514
n/a	n/a	2	142	1	2	2	1	2	1	1454.476784	1455.668365
n/a	n/a	2	143	1	2	2	1	1	1	1455.676634	1456.868217
n/a	n/a	2	144	1	2	2	1	2	1	1456.876465	1458.068059
n/a	n/a	2	145	1	3	3	17	3	2	1458.076293	1459.267844
n/a	n/a	2	146	1	3	3	17	3	2	1459.276119	1460.467684
n/a	n/a	2	147	1	3	3	17	3	2	1460.475949	1461.667521
n/a	n/a	2	148	1	3	3	17	3	2	1461.675785	1462.867356
n/a	n/a	2	149	1	3	3	17	3	2	1462.87562	1464.067188
n/a	n/a	2	150	1	3	3	17	3	2	1464.075456	1465.267025
n/a	n/a	2	151	1	3	3	17	3	2	1465.275292	1466.466886
n/a	n/a	2	152	1	3	3	17	3	2	1466.475154	1467.666696
n/a	n/a	2	153	1	3	3	17	3	2	1467.674966	1468.866618
n/a	n/a	2	154	1	3	3	17	3	2	1468.87483	1470.06637
n/a	n/a	2	155	1	3	3	17	3	2	1470.074637	1471.266249
n/a	n/a	2	156	1	3	3	17	3	2	1471.274474	1472.466038
n/a	n/a	2	157	1	3	3	17	3	2	1472.47431	1473.66587
n/a	n/a	2	158	1	3	3	17	3	2	1473.674144	1474.865712
n/a	n/a	2	159	1	3	3	17	3	2	1474.873979	1476.065545
n/a	n/a	2	160	1	3	3	17	3	2	1476.07383	1477.265384
n/a	n/a	2	161	1	2	1	1	1	1	1477.273647	1478.465215
n/a	n/a	2	162	1	2	1	1	2	1	1478.473479	1479.665049
n/a	n/a	2	163	1	2	1	1	1	1	1479.673319	1480.864889
n/a	n/a	2	164	1	2	1	1	2	1	1480.873156	1482.064719
n/a	n/a	2	165	1	2	1	1	1	1	1482.072988	1483.264561
n/a	n/a	2	166	1	2	1	1	2	1	1483.272825	1484.464391
n/a	n/a	2	167	1	2	1	1	1	1	1484.472658	1485.664227
n/a	n/a	2	168	1	2	1	1	2	1	1485.672494	1486.864061
n/a	n/a	2	169	1	2	1	1	1	1	1486.872332	1488.064154
n/a	n/a	2	170	1	2	1	1	2	1	1488.072452	1489.263748
n/a	n/a	2	171	1	2	1	1	1	1	1489.272006	1490.463586
n/a	n/a	2	172	1	2	1	1	2	1	1490.471856	1491.663445
n/a	n/a	2	173	1	2	1	1	1	1	1491.671691	1492.863231
n/a	n/a	2	174	1	2	1	1	2	1	1492.871498	1494.063066
n/a	n/a	2	175	1	2	1	1	1	1	1494.071338	1495.262903
n/a	n/a	2	176	1	2	1	1	2	1	1495.27117	1496.462733
n/a	n/a	2	177	1	2	1	1	1	1	1496.471005	1497.662573
n/a	n/a	2	178	1	2	1	1	2	1	1497.670842	1498.862403
n/a	n/a	2	179	1	2	1	1	1	1	1498.870675	1500.06225
n/a	n/a	2	180	1	2	1	1	2	1	1500.070545	1501.26208
n/a	n/a	2	181	1	2	1	1	1	1	1501.27035	1502.461914
n/a	n/a	2	182	1	2	1	1	2	1	1502.470187	1503.661804
n/a	n/a	2	183	1	2	1	1	1	1	1503.670074	1504.86165
n/a	n/a	2	184	1	2	1	1	2	1	1504.869905	1506.061474
n/a	n/a	2	185	1	2	1	1	1	1	1506.069743	1507.261315
n/a	n/a	2	186	1	2	1	1	2	1	1507.26958	1508.461149
n/a	n/a	2	187	1	2	1	1	1	1	1508.469404	1509.660988
n/a	n/a	2	188	1	2	1	1	2	1	1509.66925	1510.860826
n/a	n/a	2	189	1	2	1	1	1	1	1510.869396	1512.060674
n/a	n/a	2	190	1	2	1	1	2	1	1512.068966	1513.260502
n/a	n/a	2	191	1	2	1	1	1	1	1513.268777	1514.460347
n/a	n/a	2	192	1	2	1	1	2	1	1514.468612	1515.66016
n/a	n/a	2	193	1	3	3	17	3	2	1515.668423	1516.859983
n/a	n/a	2	194	1	3	3	17	3	2	1516.868247	1518.059831
n/a	n/a	2	195	1	3	3	17	3	2	1518.068091	1519.259657
n/a	n/a	2	196	1	3	3	17	3	2	1519.267945	1520.459501
n/a	n/a	2	197	1	3	3	17	3	2	1520.46777	1521.659327
n/a	n/a	2	198	1	3	3	17	3	2	1521.667603	1522.859211
n/a	n/a	2	199	1	3	3	17	3	2	1522.867472	1524.059017
n/a	n/a	2	200	1	3	3	17	3	2	1524.067277	1525.25884
n/a	n/a	2	201	1	3	3	17	3	2	1525.267116	1526.458661
n/a	n/a	2	202	1	3	3	17	3	2	1526.466917	1527.658536
n/a	n/a	2	203	1	3	3	17	3	2	1527.666778	1528.858336
n/a	n/a	2	204	1	3	3	17	3	2	1528.866599	1530.058169
n/a	n/a	2	205	1	3	3	17	3	2	1530.06643	1531.258012
n/a	n/a	2	206	1	3	3	17	3	2	1531.266281	1532.458007
n/a	n/a	2	207	1	3	3	17	3	2	1532.466186	1533.65775
n/a	n/a	2	208	1	3	3	17	3	2	1533.665991	1534.857613
