onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
n/a	n/a	3	1	1	3	3	17	3	2	2321.574779	2322.766283
n/a	n/a	3	2	1	3	3	17	3	2	2322.774521	2323.966128
n/a	n/a	3	3	1	3	3	17	3	2	2323.97434	2325.165964
n/a	n/a	3	4	1	3	3	17	3	2	2325.17418	2326.365804
n/a	n/a	3	5	1	3	3	17	3	2	2326.374611	2327.567889
n/a	n/a	3	6	1	3	3	17	3	2	2327.574585	2328.765442
n/a	n/a	3	7	1	3	3	17	3	2	2328.77363	2329.965246
n/a	n/a	3	8	1	3	3	17	3	2	2329.973622	2331.165062
n/a	n/a	3	9	1	3	3	17	3	2	2331.173337	2332.364903
n/a	n/a	3	10	1	3	3	17	3	2	2332.373167	2333.564743
n/a	n/a	3	11	1	3	3	17	3	2	2333.572997	2334.764574
n/a	n/a	3	12	1	3	3	17	3	2	2334.77282	2335.964429
n/a	n/a	3	13	1	3	3	17	3	2	2335.972685	2337.164232
n/a	n/a	3	14	1	3	3	17	3	2	2337.172499	2338.364071
n/a	n/a	3	15	1	3	3	17	3	2	2338.372334	2339.563965
n/a	n/a	3	16	1	3	3	17	3	2	2339.572232	2340.763804
n/a	n/a	3	17	1	1	2	2	1	1	2340.789202	2341.980251
n/a	n/a	3	18	1	1	2	10	1	1	2341.988523	2343.180093
n/a	n/a	3	19	1	1	2	2	2	1	2343.188394	2344.379902
n/a	n/a	3	20	1	1	2	10	2	1	2344.388175	2345.579767
n/a	n/a	3	21	1	1	2	2	1	1	2345.588043	2346.779613
n/a	n/a	3	22	1	1	2	10	1	1	2346.787874	2347.979464
n/a	n/a	3	23	1	1	2	2	2	1	2347.987707	2349.179557
n/a	n/a	3	24	1	1	2	10	2	1	2349.187725	2350.379146
n/a	n/a	3	25	1	1	2	10	1	1	2350.387396	2351.578979
n/a	n/a	3	26	1	1	2	2	1	1	2351.587242	2352.778806
n/a	n/a	3	27	1	1	2	10	2	1	2352.787071	2353.97867
n/a	n/a	3	28	1	1	2	2	2	1	2353.986942	2355.178478
n/a	n/a	3	29	1	1	2	10	1	1	2355.186734	2356.378307
n/a	n/a	3	30	1	1	2	2	1	1	2356.386563	2357.578162
n/a	n/a	3	31	1	1	2	10	2	1	2357.586423	2358.777992
n/a	n/a	3	32	1	1	2	2	2	1	2358.786261	2359.977803
n/a	n/a	3	33	1	1	2	10	1	1	2359.986074	2361.177666
n/a	n/a	3	34	1	1	2	2	1	1	2361.18594	2362.377503
n/a	n/a	3	35	1	1	2	10	2	1	2362.385767	2363.577326
n/a	n/a	3	36	1	1	2	2	2	1	2363.585586	2364.777619
n/a	n/a	3	37	1	1	2	10	1	1	2364.785854	2365.977059
n/a	n/a	3	38	1	1	2	2	1	1	2365.985324	2367.176866
n/a	n/a	3	39	1	1	2	10	2	1	2367.185176	2368.376765
n/a	n/a	3	40	1	1	2	2	2	1	2368.385019	2369.576558
n/a	n/a	3	41	1	1	2	10	1	1	2369.584818	2370.776372
n/a	n/a	3	42	1	1	2	2	1	1	2370.784634	2371.976233
n/a	n/a	3	43	1	1	2	10	2	1	2371.984499	2373.17607
n/a	n/a	3	44	1	1	2	2	2	1	2373.18434	2374.375916
n/a	n/a	3	45	1	1	2	10	1	1	2374.384177	2375.575724
