onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
9324.1589	1.1902308	1	1	1	3	3	17	3	2	1	1
9325.357353	1.1905715	1	2	1	3	3	17	3	2	1	2
9326.556125	1.1905781	1	3	1	3	3	17	3	2	1	3
9327.754957	1.190499	1	4	1	3	3	17	3	2	1	4
9328.95448	1.1905886	1	5	1	3	3	17	3	2	1	5
9330.152614	1.1903734	1	6	1	3	3	17	3	2	1	6
9331.351198	1.1905284	1	7	1	3	3	17	3	2	1	7
9332.550133	1.1903779	1	8	1	3	3	17	3	2	1	8
9333.748842	1.1904716	1	9	1	3	3	17	3	2	1	9
9334.947647	1.1905134	1	10	1	3	3	17	3	2	1	10
9336.146359	1.1905695	1	11	1	3	3	17	3	2	1	11
9337.345241	1.1904894	1	12	1	3	3	17	3	2	1	12
9338.543991	1.1905548	1	13	1	3	3	17	3	2	1	13
9339.742819	1.1904245	1	14	1	3	3	17	3	2	1	14
9340.941602	1.1905071	1	15	1	3	3	17	3	2	1	15
9342.140426	1.1905116	1	16	1	3	3	17	3	2	1	16
9343.356474	1.1897615	1	17	1	1	1	2	1	1	2	1
9344.554618	1.1905837	1	18	1	1	1	8	1	1	2	2
9345.753444	1.1904994	1	19	1	1	1	6	1	1	2	3
9346.952153	1.1905706	1	20	1	1	1	4	1	1	2	4
9348.151016	1.1905338	1	21	1	1	1	2	2	1	2	5
9349.349804	1.1905284	1	22	1	1	1	8	2	1	2	6
9350.548697	1.1904665	1	23	1	1	1	6	2	1	2	7
9351.747404	1.190552	1	24	1	1	1	4	2	1	2	8
9352.946127	1.1906179	1	25	1	1	1	8	1	1	2	9
9354.145006	1.1905084	1	26	1	1	1	6	1	1	2	10
9355.343818	1.190459	1	27	1	1	1	4	1	1	2	11
9356.542592	1.1904705	1	28	1	1	1	2	1	1	2	12
9357.741392	1.1904969	1	29	1	1	1	8	2	1	2	13
9358.940183	1.1905092	1	30	1	1	1	6	2	1	2	14
9360.138984	1.1904953	1	31	1	1	1	4	2	1	2	15
9361.337835	1.1905006	1	32	1	1	1	2	2	1	2	16
9362.536586	1.1904415	1	33	1	1	1	8	1	1	2	17
9363.735438	1.1904605	1	34	1	1	1	6	1	1	2	18
9364.934177	1.1905702	1	35	1	1	1	4	1	1	2	19
9366.13303	1.1904611	1	36	1	1	1	2	1	1	2	20
9367.331873	1.190409	1	37	1	1	1	8	2	1	2	21
9368.530561	1.1904914	1	38	1	1	1	6	2	1	2	22
9369.729424	1.1904343	1	39	1	1	1	4	2	1	2	23
9370.928182	1.1905011	1	40	1	1	1	2	2	1	2	24
9372.126922	1.1905398	1	41	1	1	1	8	1	1	2	25
9373.325762	1.1904993	1	42	1	1	1	6	1	1	2	26
9374.524551	1.1905294	1	43	1	1	1	4	1	1	2	27
9375.723353	1.1904916	1	44	1	1	1	2	1	1	2	28
9376.922162	1.1904912	1	45	1	1	1	8	2	1	2	29
9378.121002	1.1904843	1	46	1	1	1	6	2	1	2	30
9379.319725	1.1904943	1	47	1	1	1	4	2	1	2	31
9380.51854	1.190608	1	48	1	1	1	2	2	1	2	32
9381.717323	1.190474	1	49	1	3	3	17	3	2	3	1
9382.916172	1.1904802	1	50	1	3	3	17	3	2	3	2
9384.114975	1.1905162	1	51	1	3	3	17	3	2	3	3
9385.313656	1.1905768	1	52	1	3	3	17	3	2	3	4
9386.512495	1.190557	1	53	1	3	3	17	3	2	3	5
9387.711364	1.1904658	1	54	1	3	3	17	3	2	3	6
9388.910119	1.19048	1	55	1	3	3	17	3	2	3	7
9390.108963	1.1904484	1	56	1	3	3	17	3	2	3	8
9391.307676	1.190579	1	57	1	3	3	17	3	2	3	9
9392.506501	1.1905694	1	58	1	3	3	17	3	2	3	10
9393.705358	1.1904655	1	59	1	3	3	17	3	2	3	11
9394.904097	1.1904785	1	60	1	3	3	17	3	2	3	12
9396.102891	1.190504	1	61	1	3	3	17	3	2	3	13
9397.301754	1.1905044	1	62	1	3	3	17	3	2	3	14
9398.50048	1.1905572	1	63	1	3	3	17	3	2	3	15
9399.699309	1.1905559	1	64	1	3	3	17	3	2	3	16
9400.898093	1.1904536	1	65	1	1	2	2	1	1	4	1
9402.09693	1.1904396	1	66	1	1	2	4	1	1	4	2
9403.295727	1.1904872	1	67	1	1	2	6	1	1	4	3
9404.494461	1.1905659	1	68	1	1	2	8	1	1	4	4
9405.693198	1.1905847	1	69	1	1	2	2	2	1	4	5
