onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
9708.789688	1.1900839	2	1	1	3	3	17	3	2	1	1
9709.987966	1.190611	2	2	1	3	3	17	3	2	1	2
9711.186811	1.1905231	2	3	1	3	3	17	3	2	1	3
9712.385599	1.1905739	2	4	1	3	3	17	3	2	1	4
9713.585122	1.1905097	2	5	1	3	3	17	3	2	1	5
9714.783279	1.1903442	2	6	1	3	3	17	3	2	1	6
9715.981909	1.1904592	2	7	1	3	3	17	3	2	1	7
9717.180694	1.1905642	2	8	1	3	3	17	3	2	1	8
9718.379502	1.190525	2	9	1	3	3	17	3	2	1	9
9719.578234	1.1906217	2	10	1	3	3	17	3	2	1	10
9720.777094	1.1905339	2	11	1	3	3	17	3	2	1	11
9721.975917	1.1904666	2	12	1	3	3	17	3	2	1	12
9723.174648	1.1905199	2	13	1	3	3	17	3	2	1	13
9724.373525	1.1904564	2	14	1	3	3	17	3	2	1	14
9725.572265	1.1905814	2	15	1	3	3	17	3	2	1	15
9726.771037	1.1904962	2	16	1	3	3	17	3	2	1	16
9727.987124	1.1898983	2	17	1	2	1	1	1	1	2	1
9729.185256	1.1905438	2	18	1	2	1	1	1	1	2	2
9730.384062	1.1905005	2	19	1	2	1	1	1	1	2	3
9731.58285	1.1905398	2	20	1	2	1	1	2	1	2	4
9732.781671	1.1904452	2	21	1	2	1	1	2	1	2	5
9733.980434	1.1905494	2	22	1	2	1	1	2	1	2	6
9735.179233	1.1905462	2	23	1	2	1	1	1	1	2	7
9736.378047	1.1904945	2	24	1	2	1	1	1	1	2	8
9737.576857	1.1905156	2	25	1	2	1	1	1	1	2	9
9738.775688	1.1904933	2	26	1	2	1	1	2	1	2	10
9739.974386	1.1906083	2	27	1	2	1	1	2	1	2	11
9741.173284	1.1904731	2	28	1	2	1	1	2	1	2	12
9742.372022	1.1905577	2	29	1	2	1	1	1	1	2	13
9743.57089	1.190466	2	30	1	2	1	1	1	1	2	14
9744.769622	1.1905963	2	31	1	2	1	1	1	1	2	15
9745.968476	1.190464	2	32	1	2	1	1	2	1	2	16
9747.167209	1.1905527	2	33	1	2	1	1	2	1	2	17
9748.366019	1.1905837	2	34	1	2	1	1	2	1	2	18
9749.564818	1.1904908	2	35	1	2	1	1	1	1	2	19
9750.76362	1.1905129	2	36	1	2	1	1	1	1	2	20
9751.96238	1.1906116	2	37	1	2	1	1	1	1	2	21
9753.161181	1.1905588	2	38	1	2	1	1	2	1	2	22
9754.360177	1.1904017	2	39	1	2	1	1	2	1	2	23
9755.558809	1.1905126	2	40	1	2	1	1	2	1	2	24
9756.757652	1.1905022	2	41	1	2	1	1	1	1	2	25
9757.956421	1.1905338	2	42	1	2	1	1	1	1	2	26
9759.155184	1.1905262	2	43	1	2	1	1	1	1	2	27
9760.353975	1.1905844	2	44	1	2	1	1	2	1	2	28
9761.5528	1.1904785	2	45	1	2	1	1	2	1	2	29
9762.751562	1.1905401	2	46	1	2	1	1	2	1	2	30
9763.95038	1.1905594	2	47	1	2	1	1	3	1	2	31
9765.149272	1.1904249	2	48	1	2	1	1	3	1	2	32
9766.347976	1.1905791	2	49	1	3	3	17	3	2	3	1
9767.546748	1.1906402	2	50	1	3	3	17	3	2	3	2
9768.745553	1.1905771	2	51	1	3	3	17	3	2	3	3
9769.944367	1.1905209	2	52	1	3	3	17	3	2	3	4
9771.143152	1.1905539	2	53	1	3	3	17	3	2	3	5
9772.341948	1.1905305	2	54	1	3	3	17	3	2	3	6
9773.540745	1.1905526	2	55	1	3	3	17	3	2	3	7
9774.73954	1.1905374	2	56	1	3	3	17	3	2	3	8
9775.938345	1.1905146	2	57	1	3	3	17	3	2	3	9
9777.13719	1.19045	2	58	1	3	3	17	3	2	3	10
9778.335892	1.1905629	2	59	1	3	3	17	3	2	3	11
9779.534717	1.1905848	2	60	1	3	3	17	3	2	3	12
9780.733582	1.1904495	2	61	1	3	3	17	3	2	3	13
9781.932337	1.1904857	2	62	1	3	3	17	3	2	3	14
9783.131181	1.1904924	2	63	1	3	3	17	3	2	3	15
9784.329904	1.1906098	2	64	1	3	3	17	3	2	3	16
9785.528712	1.1905935	2	65	1	2	2	1	1	1	4	1
9786.727562	1.1905143	2	66	1	2	2	1	1	1	4	2
9787.926323	1.1905165	2	67	1	2	2	1	1	1	4	3
9789.125128	1.1904805	2	68	1	2	2	1	2	1	4	4
9790.323896	1.1905383	2	69	1	2	2	1	2	1	4	5
9791.522678	1.1905739	2	70	1	2	2	1	2	1	4	6
9792.721484	1.19058	2	71	1	2	2	1	1	1	4	7
9793.920291	1.1905038	2	72	1	2	2	1	1	1	4	8
9795.119092	1.1905806	2	73	1	2	2	1	1	1	4	9
9796.31795	1.1904944	2	74	1	2	2	1	2	1	4	10
9797.516673	1.1905337	2	75	1	2	2	1	2	1	4	11
9798.715483	1.1905466	2	76	1	2	2	1	2	1	4	12
9799.914303	1.190457	2	77	1	2	2	1	1	1	4	13
9801.113079	1.1905046	2	78	1	2	2	1	1	1	4	14
9802.311877	1.1905632	2	79	1	2	2	1	1	1	4	15
9803.510622	1.1906743	2	80	1	2	2	1	2	1	4	16
9804.709462	1.1905496	2	81	1	2	2	1	2	1	4	17
9805.908263	1.1905118	2	82	1	2	2	1	2	1	4	18
9807.107091	1.1905086	2	83	1	2	2	1	1	1	4	19
9808.3059	1.1905008	2	84	1	2	2	1	1	1	4	20
9809.504675	1.1905586	2	85	1	2	2	1	1	1	4	21
9810.703504	1.1905246	2	86	1	2	2	1	2	1	4	22
9811.902278	1.190553	2	87	1	2	2	1	2	1	4	23
9813.101101	1.1904775	2	88	1	2	2	1	2	1	4	24
9814.299859	1.1905092	2	89	1	2	2	1	1	1	4	25
9815.49864	1.1905293	2	90	1	2	2	1	1	1	4	26
9816.697394	1.1905737	2	91	1	2	2	1	1	1	4	27
9817.896237	1.1906106	2	92	1	2	2	1	2	1	4	28
9819.095087	1.1904374	2	93	1	2	2	1	2	1	4	29
9820.293872	1.1905198	2	94	1	2	2	1	2	1	4	30
9821.492691	1.190502	2	95	1	2	2	1	3	1	4	31
9822.691379	1.1905621	2	96	1	2	2	1	3	1	4	32
9823.890246	1.1904618	2	97	1	3	3	17	3	2	5	1
9825.089062	1.1904649	2	98	1	3	3	17	3	2	5	2
9826.287808	1.1904938	2	99	1	3	3	17	3	2	5	3
9827.486599	1.1905214	2	100	1	3	3	17	3	2	5	4
9828.685408	1.1906103	2	101	1	3	3	17	3	2	5	5
9829.884223	1.1904939	2	102	1	3	3	17	3	2	5	6
9831.083023	1.1904925	2	103	1	3	3	17	3	2	5	7
9832.281787	1.1905135	2	104	1	3	3	17	3	2	5	8
9833.48059	1.1905987	2	105	1	3	3	17	3	2	5	9
9834.679358	1.1905793	2	106	1	3	3	17	3	2	5	10
9835.878211	1.1904855	2	107	1	3	3	17	3	2	5	11
9837.077024	1.1904896	2	108	1	3	3	17	3	2	5	12
9838.275801	1.1905447	2	109	1	3	3	17	3	2	5	13
9839.474582	1.1906433	2	110	1	3	3	17	3	2	5	14
9840.673369	1.1905712	2	111	1	3	3	17	3	2	5	15
9841.872172	1.1905496	2	112	1	3	3	17	3	2	5	16
9843.079477	1.1903763	2	113	1	2	1	1	1	1	6	1
9844.278092	1.1905271	2	114	1	2	1	1	1	1	6	2
9845.476896	1.1905969	2	115	1	2	1	1	1	1	6	3
9846.675751	1.190486	2	116	1	2	1	1	2	1	6	4
9847.874488	1.1904876	2	117	1	2	1	1	2	1	6	5
