onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
266422.8132	1.2008613	4	1	1	3	3	17	3	2	1	1
266424.0208	1.1940323	4	2	1	3	3	17	3	2	1	2
266425.2211	1.1937403	4	3	1	3	3	17	3	2	1	3
266426.4215	1.1938733	4	4	1	3	3	17	3	2	1	4
266427.6237	1.1938464	4	5	1	3	3	17	3	2	1	5
266428.8329	1.1918514	4	6	1	3	3	17	3	2	1	6
266430.0309	1.1936112	4	7	1	3	3	17	3	2	1	7
266431.2311	1.1941539	4	8	1	3	3	17	3	2	1	8
266432.4316	1.193445	4	9	1	3	3	17	3	2	1	9
266433.6321	1.193739	4	10	1	3	3	17	3	2	1	10
266434.8322	1.1938559	4	11	1	3	3	17	3	2	1	11
266436.0326	1.1943073	4	12	1	3	3	17	3	2	1	12
266437.2332	1.1938973	4	13	1	3	3	17	3	2	1	13
266438.4337	1.1931891	4	14	1	3	3	17	3	2	1	14
266439.6337	1.1941175	4	15	1	3	3	17	3	2	1	15
266440.8345	1.1932888	4	16	1	3	3	17	3	2	1	16
266442.0718	1.1987303	4	17	1	2	1	1	1	1	2	1
266443.2768	1.1936622	4	18	1	2	1	1	1	1	2	2
266444.4773	1.1935644	4	19	1	2	1	1	1	1	2	3
266445.6777	1.1942252	4	20	1	2	1	1	2	1	2	4
266446.8779	1.1939127	4	21	1	2	1	1	2	1	2	5
266448.0786	1.1937729	4	22	1	2	1	1	2	1	2	6
266449.2789	1.1933104	4	23	1	2	1	1	1	1	2	7
266450.4791	1.1941255	4	24	1	2	1	1	1	1	2	8
266451.6799	1.1930016	4	25	1	2	1	1	1	1	2	9
266452.8802	1.193554	4	26	1	2	1	1	2	1	2	10
266454.0806	1.1941073	4	27	1	2	1	1	2	1	2	11
266455.2809	1.1941076	4	28	1	2	1	1	2	1	2	12
266456.4814	1.1936342	4	29	1	2	1	1	1	1	2	13
266457.6817	1.1934118	4	30	1	2	1	1	1	1	2	14
266458.8823	1.1936907	4	31	1	2	1	1	1	1	2	15
266460.0827	1.1939417	4	32	1	2	1	1	2	1	2	16
266461.2829	1.194607	4	33	1	2	1	1	2	1	2	17
266462.4837	1.1940749	4	34	1	2	1	1	2	1	2	18
266463.6841	1.1934659	4	35	1	2	1	1	1	1	2	19
266464.8844	1.1938784	4	36	1	2	1	1	1	1	2	20
266466.0848	1.200485	4	37	1	2	1	1	1	1	2	21
266467.2952	1.1904423	4	38	1	2	1	1	2	1	2	22
266468.4959	1.1902278	4	39	1	2	1	1	2	1	2	23
266469.6957	1.1907738	4	40	1	2	1	1	2	1	2	24
266470.8964	1.1904612	4	41	1	2	1	1	1	1	2	25
266472.0962	1.1910751	4	42	1	2	1	1	1	1	2	26
266473.2969	1.1908067	4	43	1	2	1	1	1	1	2	27
266474.4977	1.1902039	4	44	1	2	1	1	2	1	2	28
266475.6985	1.1900315	4	45	1	2	1	1	2	1	2	29
266476.8982	1.1907896	4	46	1	2	1	1	2	1	2	30
266478.0991	1.1902968	4	47	1	2	1	1	3	1	2	31
266479.2988	1.1910144	4	48	1	2	1	1	3	1	2	32
266480.4996	1.191783	4	49	1	3	3	17	3	2	3	1
266481.6984	1.1937743	4	50	1	3	3	17	3	2	3	2
266482.899	1.193903	4	51	1	3	3	17	3	2	3	3
266484.0994	1.1933416	4	52	1	3	3	17	3	2	3	4
266485.2998	1.1937454	4	53	1	3	3	17	3	2	3	5
266486.5002	1.1935113	4	54	1	3	3	17	3	2	3	6
266487.7006	1.1938954	4	55	1	3	3	17	3	2	3	7
266488.9008	1.193406	4	56	1	3	3	17	3	2	3	8
266490.1014	1.1936332	4	57	1	3	3	17	3	2	3	9
266491.3018	1.1934788	4	58	1	3	3	17	3	2	3	10
266492.5021	1.193934	4	59	1	3	3	17	3	2	3	11
266493.7026	1.193109	4	60	1	3	3	17	3	2	3	12
266494.9029	1.1937839	4	61	1	3	3	17	3	2	3	13
266496.1034	1.1935725	4	62	1	3	3	17	3	2	3	14
266497.304	1.1937563	4	63	1	3	3	17	3	2	3	15
266498.5043	1.1937916	4	64	1	3	3	17	3	2	3	16
266499.716	1.1910374	4	65	1	2	2	1	1	1	4	1
266500.9131	1.1938598	4	66	1	2	2	1	1	1	4	2
266502.1138	1.1930557	4	67	1	2	2	1	1	1	4	3
266503.3139	1.1938505	4	68	1	2	2	1	2	1	4	4
266504.5146	1.1932591	4	69	1	2	2	1	2	1	4	5
266505.7149	1.1937112	4	70	1	2	2	1	2	1	4	6
266506.9154	1.1932101	4	71	1	2	2	1	1	1	4	7
266508.1158	1.1939153	4	72	1	2	2	1	1	1	4	8
266509.3162	1.1933306	4	73	1	2	2	1	1	1	4	9
266510.5166	1.1938752	4	74	1	2	2	1	2	1	4	10
266511.7168	1.1935829	4	75	1	2	2	1	2	1	4	11
266512.9174	1.2018367	4	76	1	2	2	1	2	1	4	12
266514.1262	1.1940873	4	77	1	2	2	1	1	1	4	13
266515.3266	1.1934916	4	78	1	2	2	1	1	1	4	14
266516.527	1.1940195	4	79	1	2	2	1	1	1	4	15
266517.7274	1.1935904	4	80	1	2	2	1	2	1	4	16
266518.9278	1.1931836	4	81	1	2	2	1	2	1	4	17
266520.1282	1.1936132	4	82	1	2	2	1	2	1	4	18
266521.3287	1.2020017	4	83	1	2	2	1	1	1	4	19
266522.5374	1.1942735	4	84	1	2	2	1	1	1	4	20
266523.738	1.193619	4	85	1	2	2	1	1	1	4	21
266524.9384	1.193081	4	86	1	2	2	1	2	1	4	22
266526.1385	1.193982	4	87	1	2	2	1	2	1	4	23
266527.339	1.1935414	4	88	1	2	2	1	2	1	4	24
266528.5394	1.1936102	4	89	1	2	2	1	1	1	4	25
266529.7398	1.1940438	4	90	1	2	2	1	1	1	4	26
266530.9403	1.194054	4	91	1	2	2	1	1	1	4	27
266532.1407	1.1933655	4	92	1	2	2	1	2	1	4	28
266533.3409	1.194399	4	93	1	2	2	1	2	1	4	29
266534.5416	1.1937734	4	94	1	2	2	1	2	1	4	30
266535.7419	1.19344	4	95	1	2	2	1	3	1	4	31
266536.9424	1.1939471	4	96	1	2	2	1	3	1	4	32
266538.1523	1.1924391	4	97	1	3	3	17	3	2	5	1
266539.3515	1.1937807	4	98	1	3	3	17	3	2	5	2
266540.5521	1.1939776	4	99	1	3	3	17	3	2	5	3
266541.7524	1.1934389	4	100	1	3	3	17	3	2	5	4
266542.9527	1.1939184	4	101	1	3	3	17	3	2	5	5
266544.1532	1.1936141	4	102	1	3	3	17	3	2	5	6
266545.3534	1.1942738	4	103	1	3	3	17	3	2	5	7
266546.554	1.1934351	4	104	1	3	3	17	3	2	5	8
266547.7544	1.1936459	4	105	1	3	3	17	3	2	5	9
266548.955	1.1938507	4	106	1	3	3	17	3	2	5	10
266550.1553	1.1936884	4	107	1	3	3	17	3	2	5	11
266551.3555	1.1934662	4	108	1	3	3	17	3	2	5	12
266552.5558	1.1940706	4	109	1	3	3	17	3	2	5	13
266553.7563	1.1939264	4	110	1	3	3	17	3	2	5	14
266554.957	1.1939629	4	111	1	3	3	17	3	2	5	15
266556.1572	1.193579	4	112	1	3	3	17	3	2	5	16
266557.3743	1.1921318	4	113	1	2	1	1	1	1	6	1
266558.5766	1.1903158	4	114	1	2	1	1	1	1	6	2
266559.7772	1.1900565	4	115	1	2	1	1	1	1	6	3
266560.977	1.1906843	4	116	1	2	1	1	2	1	6	4
266562.1777	1.1904069	4	117	1	2	1	1	2	1	6	5
266563.3775	1.1909974	4	118	1	2	1	1	2	1	6	6
266564.5783	1.1904144	4	119	1	2	1	1	1	1	6	7
266565.779	1.1904065	4	120	1	2	1	1	1	1	6	8
266566.9798	1.1917651	4	121	1	2	1	1	1	1	6	9
266568.1781	1.1931153	4	122	1	2	1	1	2	1	6	10
266569.3782	1.2017133	4	123	1	2	1	1	2	1	6	11
266570.5872	1.2015415	4	124	1	2	1	1	2	1	6	12
266571.796	1.1939871	4	125	1	2	1	1	1	1	6	13
266572.9964	1.1938893	4	126	1	2	1	1	1	1	6	14
266574.1969	1.2022043	4	127	1	2	1	1	1	1	6	15
266575.4055	1.1939519	4	128	1	2	1	1	2	1	6	16
266576.6059	1.1932829	4	129	1	2	1	1	2	1	6	17
266577.8064	1.1935655	4	130	1	2	1	1	2	1	6	18
266579.0067	1.1942063	4	131	1	2	1	1	1	1	6	19
266580.2071	1.1935791	4	132	1	2	1	1	1	1	6	20
266581.4076	1.1937753	4	133	1	2	1	1	1	1	6	21
266582.6081	1.1940259	4	134	1	2	1	1	2	1	6	22
266583.8085	1.193434	4	135	1	2	1	1	2	1	6	23
266585.0086	1.19372	4	136	1	2	1	1	2	1	6	24
266586.2092	1.1937051	4	137	1	2	1	1	1	1	6	25
266587.4096	1.1941994	4	138	1	2	1	1	1	1	6	26
266588.6101	1.1934994	4	139	1	2	1	1	1	1	6	27
266589.8105	1.1937129	4	140	1	2	1	1	2	1	6	28
266591.011	1.1939912	4	141	1	2	1	1	2	1	6	29
266592.2112	1.1937337	4	142	1	2	1	1	2	1	6	30
266593.4117	1.1933222	4	143	1	2	1	1	3	1	6	31
266594.6121	1.193998	4	144	1	2	1	1	3	1	6	32
266595.822	1.1928958	4	145	1	3	3	17	3	2	7	1
266597.0209	1.1937976	4	146	1	3	3	17	3	2	7	2
266598.2217	1.1932361	4	147	1	3	3	17	3	2	7	3
266599.4222	1.1935334	4	148	1	3	3	17	3	2	7	4
266600.6226	1.1928678	4	149	1	3	3	17	3	2	7	5
266601.8228	1.1943297	4	150	1	3	3	17	3	2	7	6
266603.0233	1.1936296	4	151	1	3	3	17	3	2	7	7
266604.2236	1.1940646	4	152	1	3	3	17	3	2	7	8
266605.4241	1.1933143	4	153	1	3	3	17	3	2	7	9
266606.6246	1.1937336	4	154	1	3	3	17	3	2	7	10
266607.825	1.1939913	4	155	1	3	3	17	3	2	7	11
266609.0253	1.1934506	4	156	1	3	3	17	3	2	7	12
266610.2259	1.1937911	4	157	1	3	3	17	3	2	7	13
266611.4263	1.1930173	4	158	1	3	3	17	3	2	7	14
266612.6265	1.1935281	4	159	1	3	3	17	3	2	7	15
266613.827	1.1937954	4	160	1	3	3	17	3	2	7	16
266615.027	1.1938102	4	161	1	2	2	1	1	1	8	1
266616.2277	1.1933393	4	162	1	2	2	1	1	1	8	2
266617.4282	1.1933042	4	163	1	2	2	1	1	1	8	3
266618.6286	1.1935894	4	164	1	2	2	1	2	1	8	4
266619.829	1.1940296	4	165	1	2	2	1	2	1	8	5
266621.0295	1.1933195	4	166	1	2	2	1	2	1	8	6
266622.2299	1.1937021	4	167	1	2	2	1	1	1	8	7
266623.4303	1.1941127	4	168	1	2	2	1	1	1	8	8
266624.6307	1.1933262	4	169	1	2	2	1	1	1	8	9
266625.8311	1.1937746	4	170	1	2	2	1	2	1	8	10
266627.0315	1.1942874	4	171	1	2	2	1	2	1	8	11
266628.232	1.1934768	4	172	1	2	2	1	2	1	8	12
266629.4324	1.1937639	4	173	1	2	2	1	1	1	8	13
266630.6327	1.1933401	4	174	1	2	2	1	1	1	8	14
266631.8328	1.1940663	4	175	1	2	2	1	1	1	8	15
266633.0336	1.1940321	4	176	1	2	2	1	2	1	8	16
266634.234	1.193369	4	177	1	2	2	1	2	1	8	17
266635.4345	1.1936156	4	178	1	2	2	1	2	1	8	18
266636.635	1.1938909	4	179	1	2	2	1	1	1	8	19
266637.8353	1.193484	4	180	1	2	2	1	1	1	8	20
266639.0357	1.193871	4	181	1	2	2	1	1	1	8	21
266640.2362	1.1936815	4	182	1	2	2	1	2	1	8	22
266641.4365	1.1938285	4	183	1	2	2	1	2	1	8	23
266642.6369	1.193359	4	184	1	2	2	1	2	1	8	24
266643.8373	1.1936799	4	185	1	2	2	1	1	1	8	25
266645.0376	1.1942375	4	186	1	2	2	1	1	1	8	26
