onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
5788.91521	1.1904361	1	1	1	3	3	17	3	2	1	1
5790.113813	1.1906098	1	2	1	3	3	17	3	2	1	2
5791.312598	1.1905155	1	3	1	3	3	17	3	2	1	3
5792.511395	1.1905564	1	4	1	3	3	17	3	2	1	4
5793.710952	1.1905276	1	5	1	3	3	17	3	2	1	5
5794.909035	1.1904298	1	6	1	3	3	17	3	2	1	6
5796.107691	1.1905311	1	7	1	3	3	17	3	2	1	7
5797.306594	1.1904032	1	8	1	3	3	17	3	2	1	8
5798.505307	1.1905681	1	9	1	3	3	17	3	2	1	9
5799.70409	1.1905625	1	10	1	3	3	17	3	2	1	10
5800.902854	1.1906786	1	11	1	3	3	17	3	2	1	11
5802.101663	1.1905684	1	12	1	3	3	17	3	2	1	12
5803.300497	1.1905691	1	13	1	3	3	17	3	2	1	13
5804.499226	1.1905558	1	14	1	3	3	17	3	2	1	14
5805.698126	1.1904721	1	15	1	3	3	17	3	2	1	15
5806.896827	1.1905925	1	16	1	3	3	17	3	2	1	16
5808.113054	1.1897661	1	17	1	1	1	2	1	1	2	1
5809.311161	1.1904367	1	18	1	1	1	8	1	1	2	2
5810.509983	1.1904857	1	19	1	1	1	6	1	1	2	3
5811.708759	1.1904586	1	20	1	1	1	4	1	1	2	4
5812.907546	1.1905571	1	21	1	1	1	2	2	1	2	5
5814.106307	1.1905266	1	22	1	1	1	8	2	1	2	6
5815.305113	1.1905373	1	23	1	1	1	6	2	1	2	7
5816.503911	1.1905251	1	24	1	1	1	4	2	1	2	8
5817.702696	1.1905644	1	25	1	1	1	8	1	1	2	9
5818.901463	1.1905573	1	26	1	1	1	6	1	1	2	10
5820.100298	1.1904661	1	27	1	1	1	4	1	1	2	11
5821.299131	1.1904396	1	28	1	1	1	2	1	1	2	12
5822.497874	1.1905244	1	29	1	1	1	8	2	1	2	13
5823.696689	1.1904888	1	30	1	1	1	6	2	1	2	14
5824.895531	1.1905219	1	31	1	1	1	4	2	1	2	15
5826.094331	1.1904596	1	32	1	1	1	2	2	1	2	16
5827.293089	1.1904778	1	33	1	1	1	8	1	1	2	17
5828.491856	1.1905162	1	34	1	1	1	6	1	1	2	18
5829.690702	1.1904671	1	35	1	1	1	4	1	1	2	19
5830.889456	1.1905404	1	36	1	1	1	2	1	1	2	20
5832.088289	1.1904785	1	37	1	1	1	8	2	1	2	21
5833.287071	1.1904765	1	38	1	1	1	6	2	1	2	22
5834.485904	1.1904325	1	39	1	1	1	4	2	1	2	23
5835.684714	1.1904661	1	40	1	1	1	2	2	1	2	24
5836.883419	1.190624	1	41	1	1	1	8	1	1	2	25
