onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
3590.221292	1.1912412	4	1	1	3	3	17	3	2	1	1
3591.42072	1.1916427	4	2	1	3	3	17	3	2	1	2
3592.620543	1.1916489	4	3	1	3	3	17	3	2	1	3
3593.820382	1.1916127	4	4	1	3	3	17	3	2	1	4
3595.020844	1.1916083	4	5	1	3	3	17	3	2	1	5
3596.220101	1.1920184	4	6	1	3	3	17	3	2	1	6
3597.419837	1.1915125	4	7	1	3	3	17	3	2	1	7
3598.619745	1.1914293	4	8	1	3	3	17	3	2	1	8
3599.819437	1.1915608	4	9	1	3	3	17	3	2	1	9
3601.019265	1.1915399	4	10	1	3	3	17	3	2	1	10
3602.219075	1.1915613	4	11	1	3	3	17	3	2	1	11
3603.418905	1.191537	4	12	1	3	3	17	3	2	1	12
3604.618702	1.1916403	4	13	1	3	3	17	3	2	1	13
3605.818562	1.1915444	4	14	1	3	3	17	3	2	1	14
3607.018372	1.1915535	4	15	1	3	3	17	3	2	1	15
3608.218194	1.191568	4	16	1	3	3	17	3	2	1	16
3609.426904	1.1910098	4	17	1	2	1	1	1	1	2	1
3610.626175	1.1915519	4	18	1	2	1	1	1	1	2	2
3611.825997	1.1915576	4	19	1	2	1	1	1	1	2	3
3613.025828	1.1915399	4	20	1	2	1	1	2	1	2	4
3614.225631	1.1915813	4	21	1	2	1	1	2	1	2	5
3615.42547	1.191617	4	22	1	2	1	1	2	1	2	6
3616.625326	1.1919195	4	23	1	2	1	1	1	1	2	7
3617.825397	1.1913348	4	24	1	2	1	1	1	1	2	8
3619.025012	1.191549	4	25	1	2	1	1	1	1	2	9
3620.224827	1.1915447	4	26	1	2	1	1	2	1	2	10
3621.424637	1.1915595	4	27	1	2	1	1	2	1	2	11
3622.624463	1.1915455	4	28	1	2	1	1	2	1	2	12
3623.824295	1.1915544	4	29	1	2	1	1	1	1	2	13
3625.024123	1.1915793	4	30	1	2	1	1	1	1	2	14
3626.22398	1.1915631	4	31	1	2	1	1	1	1	2	15
3627.423803	1.1915466	4	32	1	2	1	1	2	1	2	16
3628.6236	1.1915682	4	33	1	2	1	1	2	1	2	17
3629.823429	1.1915995	4	34	1	2	1	1	2	1	2	18
3631.023271	1.1915655	4	35	1	2	1	1	1	1	2	19
3632.223102	1.191593	4	36	1	2	1	1	1	1	2	20
3633.422953	1.1914988	4	37	1	2	1	1	1	1	2	21
3634.622708	1.191604	4	38	1	2	1	1	2	1	2	22
3635.82258	1.1915584	4	39	1	2	1	1	2	1	2	23
3637.022411	1.1915399	4	40	1	2	1	1	2	1	2	24
3638.222221	1.1915727	4	41	1	2	1	1	1	1	2	25
3639.422063	1.1915443	4	42	1	2	1	1	1	1	2	26
3640.621865	1.1915819	4	43	1	2	1	1	1	1	2	27
3641.821705	1.1915631	4	44	1	2	1	1	2	1	2	28
3643.021512	1.1915989	4	45	1	2	1	1	2	1	2	29
3644.221374	1.1919316	4	46	1	2	1	1	2	1	2	30
3645.421219	1.1915013	4	47	1	2	1	1	3	1	2	31
3646.620983	1.1915888	4	48	1	2	1	1	3	1	2	32
3647.820832	1.1915894	4	49	1	3	3	17	3	2	3	1
3649.020683	1.1915488	4	50	1	3	3	17	3	2	3	2
3650.220474	1.1915564	4	51	1	3	3	17	3	2	3	3
3651.420295	1.1915758	4	52	1	3	3	17	3	2	3	4
3652.620141	1.1915594	4	53	1	3	3	17	3	2	3	5
3653.82	1.1914932	4	54	1	3	3	17	3	2	3	6
3655.019763	1.19159	4	55	1	3	3	17	3	2	3	7
3656.219692	1.1914812	4	56	1	3	3	17	3	2	3	8
3657.419435	1.1915601	4	57	1	3	3	17	3	2	3	9
3658.619249	1.1915439	4	58	1	3	3	17	3	2	3	10
3659.819061	1.1920098	4	59	1	3	3	17	3	2	3	11
3661.01917	1.1917541	4	60	1	3	3	17	3	2	3	12
3662.218805	1.1915067	4	61	1	3	3	17	3	2	3	13
3663.418583	1.1915617	4	62	1	3	3	17	3	2	3	14
3664.618412	1.1915612	4	63	1	3	3	17	3	2	3	15
3665.818235	1.1915817	4	64	1	3	3	17	3	2	3	16
3667.01814	1.1930941	4	65	1	2	2	1	1	1	4	1
3668.218096	1.1913666	4	66	1	2	2	1	1	1	4	2
3669.417728	1.1915611	4	67	1	2	2	1	1	1	4	3
3670.617556	1.1915849	4	68	1	2	2	1	2	1	4	4
3671.817382	1.1915431	4	69	1	2	2	1	2	1	4	5
3673.0172	1.1915704	4	70	1	2	2	1	2	1	4	6
3674.217035	1.1915502	4	71	1	2	2	1	1	1	4	7
3675.416851	1.1915832	4	72	1	2	2	1	1	1	4	8
3676.616692	1.1915382	4	73	1	2	2	1	1	1	4	9
3677.816493	1.1918904	4	74	1	2	2	1	2	1	4	10
3679.016613	1.1912757	4	75	1	2	2	1	2	1	4	11
3680.216148	1.1915943	4	76	1	2	2	1	2	1	4	12
3681.41603	1.1915492	4	77	1	2	2	1	1	1	4	13
3682.61585	1.1915691	4	78	1	2	2	1	1	1	4	14
3683.815687	1.1915226	4	79	1	2	2	1	1	1	4	15
3685.015477	1.1915695	4	80	1	2	2	1	2	1	4	16
3686.215311	1.1915616	4	81	1	2	2	1	2	1	4	17
3687.41513	1.191588	4	82	1	2	2	1	2	1	4	18
3688.614964	1.1915856	4	83	1	2	2	1	1	1	4	19
3689.814813	1.1915379	4	84	1	2	2	1	1	1	4	20
3691.014622	1.1915512	4	85	1	2	2	1	1	1	4	21
3692.214439	1.1915784	4	86	1	2	2	1	2	1	4	22
3693.414254	1.1915816	4	87	1	2	2	1	2	1	4	23
3694.614098	1.191905	4	88	1	2	2	1	2	1	4	24
3695.814272	1.1912387	4	89	1	2	2	1	1	1	4	25
3697.013767	1.1915462	4	90	1	2	2	1	1	1	4	26
3698.213579	1.1917538	4	91	1	2	2	1	1	1	4	27
3699.413406	1.1915653	4	92	1	2	2	1	2	1	4	28
3700.613204	1.1916058	4	93	1	2	2	1	2	1	4	29
3701.813076	1.1915482	4	94	1	2	2	1	2	1	4	30
3703.012874	1.1915529	4	95	1	2	2	1	3	1	4	31
3704.212688	1.1915884	4	96	1	2	2	1	3	1	4	32
3705.412535	1.191593	4	97	1	3	3	17	3	2	5	1
3706.612397	1.1914966	4	98	1	3	3	17	3	2	5	2
3707.812163	1.1915632	4	99	1	3	3	17	3	2	5	3
3709.012015	1.1915632	4	100	1	3	3	17	3	2	5	4
3710.21184	1.1915393	4	101	1	3	3	17	3	2	5	5
3711.411656	1.1919041	4	102	1	3	3	17	3	2	5	6
3712.611941	1.191077	4	103	1	3	3	17	3	2	5	7
3713.811287	1.1915849	4	104	1	3	3	17	3	2	5	8
3715.011141	1.1915793	4	105	1	3	3	17	3	2	5	9
3716.21098	1.1919326	4	106	1	3	3	17	3	2	5	10
3717.411148	1.1912251	4	107	1	3	3	17	3	2	5	11
3718.61064	1.1915654	4	108	1	3	3	17	3	2	5	12
3719.810479	1.1915274	4	109	1	3	3	17	3	2	5	13
3721.010274	1.1915943	4	110	1	3	3	17	3	2	5	14
3722.210157	1.1915323	4	111	1	3	3	17	3	2	5	15
3723.409963	1.1915468	4	112	1	3	3	17	3	2	5	16
3724.618326	1.1913665	4	113	1	2	1	1	1	1	6	1
3725.817966	1.1915289	4	114	1	2	1	1	1	1	6	2
3727.01776	1.1915881	4	115	1	2	1	1	1	1	6	3
3728.217614	1.1919985	4	116	1	2	1	1	2	1	6	4
3729.417804	1.1911792	4	117	1	2	1	1	2	1	6	5
3730.617234	1.1915602	4	118	1	2	1	1	2	1	6	6
3731.817054	1.1919286	4	119	1	2	1	1	1	1	6	7
3733.017205	1.191314	4	120	1	2	1	1	1	1	6	8
3734.216767	1.1915167	4	121	1	2	1	1	1	1	6	9
3735.416549	1.1915947	4	122	1	2	1	1	2	1	6	10
3736.616381	1.1915819	4	123	1	2	1	1	2	1	6	11
3737.816209	1.1915652	4	124	1	2	1	1	2	1	6	12
3739.016034	1.1915237	4	125	1	2	1	1	1	1	6	13
3740.21584	1.1915964	4	126	1	2	1	1	1	1	6	14
3741.415705	1.1915394	4	127	1	2	1	1	1	1	6	15
3742.615519	1.1915448	4	128	1	2	1	1	2	1	6	16
3743.81533	1.1915863	4	129	1	2	1	1	2	1	6	17
3745.015179	1.1918756	4	130	1	2	1	1	2	1	6	18
3746.215289	1.1912759	4	131	1	2	1	1	1	1	6	19
3747.414829	1.1915984	4	132	1	2	1	1	1	1	6	20
3748.614672	1.1915546	4	133	1	2	1	1	1	1	6	21
3749.814504	1.1915206	4	134	1	2	1	1	2	1	6	22
3751.014311	1.1915347	4	135	1	2	1	1	2	1	6	23
3752.214111	1.1916134	4	136	1	2	1	1	2	1	6	24
3753.413988	1.1915408	4	137	1	2	1	1	1	1	6	25
3754.613785	1.191607	4	138	1	2	1	1	1	1	6	26
3755.813638	1.1919727	4	139	1	2	1	1	1	1	6	27
3757.013591	1.1914041	4	140	1	2	1	1	2	1	6	28
3758.213259	1.1915424	4	141	1	2	1	1	2	1	6	29
3759.41306	1.1916275	4	142	1	2	1	1	2	1	6	30
3760.612937	1.1919045	4	143	1	2	1	1	3	1	6	31
3761.813116	1.1911578	4	144	1	2	1	1	3	1	6	32
3763.020936	1.1915494	4	145	1	3	3	17	3	2	7	1
3764.22073	1.1915475	4	146	1	3	3	17	3	2	7	2
3765.420546	1.1915958	4	147	1	3	3	17	3	2	7	3
3766.620718	1.1912316	4	148	1	3	3	17	3	2	7	4
3767.820216	1.1916094	4	149	1	3	3	17	3	2	7	5
3769.020058	1.1915501	4	150	1	3	3	17	3	2	7	6
3770.220021	1.191402	4	151	1	3	3	17	3	2	7	7
3771.419686	1.1915928	4	152	1	3	3	17	3	2	7	8
3772.619548	1.1915646	4	153	1	3	3	17	3	2	7	9
3773.819358	1.1915605	4	154	1	3	3	17	3	2	7	10
3775.019195	1.1915636	4	155	1	3	3	17	3	2	7	11
3776.219026	1.191557	4	156	1	3	3	17	3	2	7	12
3777.41884	1.1917176	4	157	1	3	3	17	3	2	7	13
3778.618705	1.1915243	4	158	1	3	3	17	3	2	7	14
3779.818595	1.1914658	4	159	1	3	3	17	3	2	7	15
3781.018323	1.1915668	4	160	1	3	3	17	3	2	7	16
3782.218145	1.1915664	4	161	1	2	2	1	1	1	8	1
3783.417973	1.191578	4	162	1	2	2	1	1	1	8	2
3784.617819	1.1915566	4	163	1	2	2	1	1	1	8	3
3785.817631	1.1915725	4	164	1	2	2	1	2	1	8	4
3787.017471	1.1915438	4	165	1	2	2	1	2	1	8	5
3788.21728	1.1915656	4	166	1	2	2	1	2	1	8	6
3789.417109	1.191989	4	167	1	2	2	1	1	1	8	7
3790.617263	1.1912579	4	168	1	2	2	1	1	1	8	8
3791.816786	1.1915557	4	169	1	2	2	1	1	1	8	9
3793.016644	1.1915219	4	170	1	2	2	1	2	1	8	10
3794.216424	1.1916203	4	171	1	2	2	1	2	1	8	11
3795.416312	1.191533	4	172	1	2	2	1	2	1	8	12
3796.616496	1.1911294	4	173	1	2	2	1	1	1	8	13
3797.81632	1.1911639	4	174	1	2	2	1	1	1	8	14
3799.015764	1.1915348	4	175	1	2	2	1	1	1	8	15
3800.215587	1.191533	4	176	1	2	2	1	2	1	8	16
3801.415727	1.1912283	4	177	1	2	2	1	2	1	8	17
3802.615232	1.1915188	4	178	1	2	2	1	2	1	8	18
3803.815018	1.1915553	4	179	1	2	2	1	1	1	8	19
3805.014842	1.1916297	4	180	1	2	2	1	1	1	8	20
3806.214726	1.1918723	4	181	1	2	2	1	1	1	8	21
3807.414849	1.1912266	4	182	1	2	2	1	2	1	8	22
3808.61434	1.1915626	4	183	1	2	2	1	2	1	8	23
3809.814163	1.191565	4	184	1	2	2	1	2	1	8	24
3811.013994	1.1915582	4	185	1	2	2	1	1	1	8	25
3812.21383	1.1915558	4	186	1	2	2	1	1	1	8	26
3813.413652	1.191552	4	187	1	2	2	1	1	1	8	27
3814.613446	1.1916028	4	188	1	2	2	1	2	1	8	28
3815.813315	1.1915621	4	189	1	2	2	1	2	1	8	29
3817.013142	1.191595	4	190	1	2	2	1	2	1	8	30
3818.212992	1.1915539	4	191	1	2	2	1	3	1	8	31
3819.412801	1.1915868	4	192	1	2	2	1	3	1	8	32
3820.612633	1.1915584	4	193	1	3	3	17	3	2	9	1
3821.812429	1.1915772	4	194	1	3	3	17	3	2	9	2
3823.012274	1.1919067	4	195	1	3	3	17	3	2	9	3
3824.212445	1.1912131	4	196	1	3	3	17	3	2	9	4
3825.411926	1.1915995	4	197	1	3	3	17	3	2	9	5
3826.611764	1.1915589	4	198	1	3	3	17	3	2	9	6
3827.811627	1.1915786	4	199	1	3	3	17	3	2	9	7
3829.011501	1.1914843	4	200	1	3	3	17	3	2	9	8
3830.211239	1.1916842	4	201	1	3	3	17	3	2	9	9
3831.411235	1.1913552	4	202	1	3	3	17	3	2	9	10
3832.61086	1.1915556	4	203	1	3	3	17	3	2	9	11
3833.810692	1.1915609	4	204	1	3	3	17	3	2	9	12
3835.010552	1.1915919	4	205	1	3	3	17	3	2	9	13
3836.210397	1.1915428	4	206	1	3	3	17	3	2	9	14
3837.410177	1.1919027	4	207	1	3	3	17	3	2	9	15
3838.610405	1.1912121	4	208	1	3	3	17	3	2	9	16
