onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1583421472	n/a	1	1	1	3	5	17	3	1	1583421470
1583421473	n/a	1	2	1	3	5	17	3	1	1583421472
1583421474	n/a	1	3	1	3	5	17	3	1	1583421473
1583421475	n/a	1	4	1	3	5	17	3	1	1583421474
1583421476	n/a	1	5	1	3	5	17	3	1	1583421475
1583421478	n/a	1	6	1	3	5	17	3	1	1583421476
1583421479	n/a	1	7	1	3	5	17	3	1	1583421478
1583421480	n/a	1	8	1	3	5	17	3	1	1583421479
1583421481	n/a	1	9	1	3	5	17	3	1	1583421480
1583421482	n/a	1	10	1	3	5	17	3	1	1583421481
1583421484	n/a	1	11	1	3	5	17	3	1	1583421482
1583421485	n/a	1	12	1	3	5	17	3	1	1583421484
1583421486	n/a	1	13	1	3	5	17	3	1	1583421485
1583421487	n/a	1	14	1	3	5	17	3	1	1583421486
1583421488	n/a	1	15	1	3	5	17	3	1	1583421487
1583421490	n/a	1	16	1	3	5	17	3	1	1583421488
1583421491	n/a	1	17	1	2	1	1	1	2	1583421490
1583421492	n/a	1	18	1	2	1	9	2	2	1583421491
1583421493	n/a	1	19	1	2	1	3	1	2	1583421492
1583421494	n/a	1	20	1	2	1	11	2	2	1583421493
1583421496	n/a	1	21	1	2	1	5	1	2	1583421494
1583421497	n/a	1	22	1	2	1	13	2	2	1583421496
1583421498	n/a	1	23	1	2	1	7	1	2	1583421497
1583421499	n/a	1	24	1	2	1	15	2	2	1583421498
1583421500	n/a	1	25	1	2	1	9	1	2	1583421499
1583421502	n/a	1	26	1	2	1	3	2	2	1583421500
1583421503	n/a	1	27	1	2	1	11	1	2	1583421502
1583421504	n/a	1	28	1	2	1	5	2	2	1583421503
1583421505	n/a	1	29	1	2	1	13	1	2	1583421504
1583421506	n/a	1	30	1	2	1	7	2	2	1583421505
1583421508	n/a	1	31	1	2	1	15	1	2	1583421506
1583421509	n/a	1	32	1	2	1	1	2	2	1583421508
1583421510	n/a	1	33	1	2	1	9	1	2	1583421509
1583421511	n/a	1	34	1	2	1	3	2	2	1583421510
1583421512	n/a	1	35	1	2	1	11	1	2	1583421511
1583421514	n/a	1	36	1	2	1	5	2	2	1583421512
1583421515	n/a	1	37	1	2	1	13	1	2	1583421514
1583421516	n/a	1	38	1	2	1	7	2	2	1583421515
1583421517	n/a	1	39	1	2	1	15	1	2	1583421516
1583421518	n/a	1	40	1	2	1	1	2	2	1583421517
1583421520	n/a	1	41	1	2	1	9	1	2	1583421518
1583421521	n/a	1	42	1	2	1	3	2	2	1583421520
1583421522	n/a	1	43	1	2	1	11	1	2	1583421521
1583421523	n/a	1	44	1	2	1	5	2	2	1583421522
1583421524	n/a	1	45	1	2	1	13	1	2	1583421523
1583421526	n/a	1	46	1	2	1	7	2	2	1583421524
1583421527	n/a	1	47	1	2	1	15	1	2	1583421526
1583421528	n/a	1	48	1	2	1	1	2	2	1583421527
1583421529	n/a	1	49	1	3	5	17	3	3	1583421528
1583421530	n/a	1	50	1	3	5	17	3	3	1583421529
1583421532	n/a	1	51	1	3	5	17	3	3	1583421530
1583421533	n/a	1	52	1	3	5	17	3	3	1583421532
1583421534	n/a	1	53	1	3	5	17	3	3	1583421533
1583421535	n/a	1	54	1	3	5	17	3	3	1583421534
1583421536	n/a	1	55	1	3	5	17	3	3	1583421535
1583421538	n/a	1	56	1	3	5	17	3	3	1583421536
1583421539	n/a	1	57	1	3	5	17	3	3	1583421538
1583421540	n/a	1	58	1	3	5	17	3	3	1583421539
1583421541	n/a	1	59	1	3	5	17	3	3	1583421540
1583421542	n/a	1	60	1	3	5	17	3	3	1583421541
1583421544	n/a	1	61	1	3	5	17	3	3	1583421542
1583421545	n/a	1	62	1	3	5	17	3	3	1583421544
1583421546	n/a	1	63	1	3	5	17	3	3	1583421545
1583421547	n/a	1	64	1	3	5	17	3	3	1583421546
1583421548	n/a	1	65	1	2	2	1	1	4	1583421547
1583421550	n/a	1	66	1	2	2	9	2	4	1583421548
