onset	duration	run_number	trial_number	task	trial_type	eyemov_amplitude	eyemov_start_pos	eyemov_vis_end	sequence_num	sequence_trial
1582806747	n/a	1	1	1	3	5	17	3	1	1582806746
1582806748	n/a	1	2	1	3	5	17	3	1	1582806747
1582806749	n/a	1	3	1	3	5	17	3	1	1582806748
1582806750	n/a	1	4	1	3	5	17	3	1	1582806749
1582806752	n/a	1	5	1	3	5	17	3	1	1582806751
1582806753	n/a	1	6	1	3	5	17	3	1	1582806752
1582806754	n/a	1	7	1	3	5	17	3	1	1582806753
1582806755	n/a	1	8	1	3	5	17	3	1	1582806754
1582806756	n/a	1	9	1	3	5	17	3	1	1582806755
1582806758	n/a	1	10	1	3	5	17	3	1	1582806757
1582806759	n/a	1	11	1	3	5	17	3	1	1582806758
1582806760	n/a	1	12	1	3	5	17	3	1	1582806759
1582806761	n/a	1	13	1	3	5	17	3	1	1582806760
1582806762	n/a	1	14	1	3	5	17	3	1	1582806761
1582806764	n/a	1	15	1	3	5	17	3	1	1582806763
1582806765	n/a	1	16	1	3	5	17	3	1	1582806764
1582806766	n/a	1	17	1	1	1	2	1	2	1582806765
1582806767	n/a	1	18	1	1	1	10	1	2	1582806766
1582806768	n/a	1	19	1	1	1	4	2	2	1582806767
1582806770	n/a	1	20	1	1	1	12	2	2	1582806769
1582806771	n/a	1	21	1	1	1	6	1	2	1582806770
1582806772	n/a	1	22	1	1	1	14	1	2	1582806771
1582806773	n/a	1	23	1	1	1	8	2	2	1582806772
1582806774	n/a	1	24	1	1	1	16	2	2	1582806773
1582806776	n/a	1	25	1	1	1	10	1	2	1582806775
1582806777	n/a	1	26	1	1	1	4	1	2	1582806776
1582806778	n/a	1	27	1	1	1	12	2	2	1582806777
1582806779	n/a	1	28	1	1	1	6	2	2	1582806778
1582806780	n/a	1	29	1	1	1	14	1	2	1582806779
1582806782	n/a	1	30	1	1	1	8	1	2	1582806781
1582806783	n/a	1	31	1	1	1	16	2	2	1582806782
1582806784	n/a	1	32	1	1	1	2	2	2	1582806783
1582806785	n/a	1	33	1	1	1	10	1	2	1582806784
1582806786	n/a	1	34	1	1	1	4	1	2	1582806785
1582806788	n/a	1	35	1	1	1	12	2	2	1582806787
1582806789	n/a	1	36	1	1	1	6	2	2	1582806788
1582806790	n/a	1	37	1	1	1	14	1	2	1582806789
1582806791	n/a	1	38	1	1	1	8	1	2	1582806790
1582806792	n/a	1	39	1	1	1	16	2	2	1582806791
1582806794	n/a	1	40	1	1	1	2	2	2	1582806793
1582806795	n/a	1	41	1	1	1	10	1	2	1582806794
1582806796	n/a	1	42	1	1	1	4	1	2	1582806795
1582806797	n/a	1	43	1	1	1	12	2	2	1582806796
1582806798	n/a	1	44	1	1	1	6	2	2	1582806797
1582806800	n/a	1	45	1	1	1	14	1	2	1582806799
1582806801	n/a	1	46	1	1	1	8	1	2	1582806800
1582806802	n/a	1	47	1	1	1	16	2	2	1582806801
1582806803	n/a	1	48	1	1	1	2	2	2	1582806802
1582806804	n/a	1	49	1	3	5	17	3	3	1582806803
1582806806	n/a	1	50	1	3	5	17	3	3	1582806805
1582806807	n/a	1	51	1	3	5	17	3	3	1582806806
1582806808	n/a	1	52	1	3	5	17	3	3	1582806807
1582806809	n/a	1	53	1	3	5	17	3	3	1582806808
1582806810	n/a	1	54	1	3	5	17	3	3	1582806809
1582806812	n/a	1	55	1	3	5	17	3	3	1582806811
1582806813	n/a	1	56	1	3	5	17	3	3	1582806812
1582806814	n/a	1	57	1	3	5	17	3	3	1582806813
1582806815	n/a	1	58	1	3	5	17	3	3	1582806814
1582806816	n/a	1	59	1	3	5	17	3	3	1582806815
1582806818	n/a	1	60	1	3	5	17	3	3	1582806817
1582806819	n/a	1	61	1	3	5	17	3	3	1582806818
1582806820	n/a	1	62	1	3	5	17	3	3	1582806819
1582806821	n/a	1	63	1	3	5	17	3	3	1582806820
