onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
17244.73253	14.122787	1	1	1	3	3	17	3	2	1	1
17258.95655	14.3648611	1	2	1	3	3	17	3	2	1	2
17273.40721	14.0149313	1	3	1	3	3	17	3	2	1	3
17287.51345	15.3007368	1	4	1	3	3	17	3	2	1	4
17302.91436	17.0746209	1	5	1	3	3	17	3	2	1	5
17320.10509	15.3376943	1	6	1	3	3	17	3	2	1	6
17335.55588	13.9592043	1	7	1	3	3	17	3	2	1	7
17349.60704	13.6651451	1	8	1	3	3	17	3	2	1	8
17363.38473	14.025001	1	9	1	3	3	17	3	2	1	9
17377.53988	14.2055726	1	10	1	3	3	17	3	2	1	10
17391.83244	13.8947337	1	11	1	3	3	17	3	2	1	11
17405.84559	14.4001021	1	12	1	3	3	17	3	2	1	12
17420.33613	13.4547333	1	13	1	3	3	17	3	2	1	13
17433.87912	14.4319653	1	14	1	3	3	17	3	2	1	14
17448.39308	13.9398764	1	15	1	3	3	17	3	2	1	15
17462.42373	14.5095336	1	16	1	3	3	17	3	2	1	16
17477.09655	13.7330406	1	17	1	1	2	2	1	1	2	1
17490.91386	14.3465875	1	18	1	1	2	4	1	1	2	2
17505.36202	14.0041182	1	19	1	1	2	6	1	1	2	3
17519.4567	13.4319598	1	20	1	1	2	8	1	1	2	4
17532.98827	13.6601899	1	21	1	1	2	2	2	1	2	5
17546.7356	13.9699493	1	22	1	1	2	4	2	1	2	6
17560.80844	14.3138584	1	23	1	1	2	6	2	1	2	7
17575.20394	13.7887301	1	24	1	1	2	8	2	1	2	8
17589.08408	14.0348433	1	25	1	1	2	4	1	1	2	9
17603.22082	14.4439694	1	26	1	1	2	6	1	1	2	10
17617.75503	14.1314939	1	27	1	1	2	8	1	1	2	11
17631.97948	13.9340083	1	28	1	1	2	2	1	1	2	12
17646.04008	14.420458	1	29	1	1	2	4	2	1	2	13
17660.5438	14.7287446	1	30	1	1	2	6	2	1	2	14
17675.3818	14.8453108	1	31	1	1	2	8	2	1	2	15
17690.32632	13.8076721	1	32	1	1	2	2	2	1	2	16
17704.2371	14.2971963	1	33	1	1	2	4	1	1	2	17
17718.65003	14.8005339	1	34	1	1	2	6	1	1	2	18
17733.53791	14.6961455	1	35	1	1	2	8	1	1	2	19
17748.32573	14.3959987	1	36	1	1	2	2	1	1	2	20
17762.81729	14.4694588	1	37	1	1	2	4	2	1	2	21
17777.37561	13.9762229	1	38	1	1	2	6	2	1	2	22
17791.47138	14.5337295	1	39	1	1	2	8	2	1	2	23
17806.09214	14.114312	1	40	1	1	2	2	2	1	2	24
17820.33085	14.474722	1	41	1	1	2	4	1	1	2	25
17834.88838	14.0113819	1	42	1	1	2	6	1	1	2	26
17849.00898	14.4022176	1	43	1	1	2	8	1	1	2	27
17863.51804	14.4384697	1	44	1	1	2	2	1	1	2	28
17878.04827	15.0078313	1	45	1	1	2	4	2	1	2	29
17893.16236	14.2487077	1	46	1	1	2	6	2	1	2	30
17907.49583	13.83264	1	47	1	1	2	8	2	1	2	31
17921.41948	14.3278304	1	48	1	1	2	2	2	1	2	32
17935.83861	14.7706043	1	49	1	3	3	17	3	2	3	1
17950.73582	13.9994506	1	50	1	3	3	17	3	2	3	2
17964.86261	14.4871105	1	51	1	3	3	17	3	2	3	3
17979.46887	14.492869	1	52	1	3	3	17	3	2	3	4
17994.0579	14.2245043	1	53	1	3	3	17	3	2	3	5
18008.38289	14.5099632	1	54	1	3	3	17	3	2	3	6
18023.01834	14.0986815	1	55	1	3	3	17	3	2	3	7
18037.22494	14.3046956	1	56	1	3	3	17	3	2	3	8
18051.62726	14.7866255	1	57	1	3	3	17	3	2	3	9
18066.53016	14.2451377	1	58	1	3	3	17	3	2	3	10
18080.88137	14.0423707	1	59	1	3	3	17	3	2	3	11
18095.01567	14.2400882	1	60	1	3	3	17	3	2	3	12
18109.3442	13.8880601	1	61	1	3	3	17	3	2	3	13
18123.31891	14.3902252	1	62	1	3	3	17	3	2	3	14
18137.8164	14.5707361	1	63	1	3	3	17	3	2	3	15
18152.48554	14.9158217	1	64	1	3	3	17	3	2	3	16
18167.50798	14.9775196	1	65	1	1	1	2	1	1	4	1
18182.60232	14.7436435	1	66	1	1	1	8	1	1	4	2
18197.46909	14.4907547	1	67	1	1	1	6	1	1	4	3
18212.08279	14.7646324	1	68	1	1	1	4	1	1	4	4
18226.96695	14.7047594	1	69	1	1	1	2	2	1	4	5
18241.7548	14.3049129	1	70	1	1	1	8	2	1	4	6
18256.16994	15.0866355	1	71	1	1	1	6	2	1	4	7
18271.36751	15.3074956	1	72	1	1	1	4	2	1	4	8
18286.77846	15.389715	1	73	1	1	1	8	1	1	4	9
18302.27019	14.2341697	1	74	1	1	1	6	1	1	4	10
18316.58694	14.5257993	1	75	1	1	1	4	1	1	4	11
