onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
4351.265427	1.1913974	1	1	1	3	3	17	3	2	1	1
4352.465015	1.191631	1	2	1	3	3	17	3	2	1	2
4353.664855	1.1916125	1	3	1	3	3	17	3	2	1	3
4354.86468	1.1915749	1	4	1	3	3	17	3	2	1	4
4356.065074	1.1915915	1	5	1	3	3	17	3	2	1	5
4357.264348	1.1915004	1	6	1	3	3	17	3	2	1	6
4358.464046	1.1915871	1	7	1	3	3	17	3	2	1	7
4359.663984	1.1915047	1	8	1	3	3	17	3	2	1	8
4360.86376	1.1915515	1	9	1	3	3	17	3	2	1	9
4362.063568	1.191557	1	10	1	3	3	17	3	2	1	10
4363.263453	1.1914921	1	11	1	3	3	17	3	2	1	11
4364.463221	1.1915808	1	12	1	3	3	17	3	2	1	12
4365.663046	1.1915965	1	13	1	3	3	17	3	2	1	13
4366.862909	1.1915517	1	14	1	3	3	17	3	2	1	14
4368.062722	1.1915647	1	15	1	3	3	17	3	2	1	15
4369.262551	1.1915815	1	16	1	3	3	17	3	2	1	16
4370.479775	1.1908403	1	17	1	1	2	2	1	1	2	1
4371.678878	1.1915689	1	18	1	1	2	4	1	1	2	2
4372.87873	1.1915429	1	19	1	1	2	6	1	1	2	3
4374.078531	1.1915195	1	20	1	1	2	8	1	1	2	4
4375.278312	1.191555	1	21	1	1	2	2	2	1	2	5
4376.478144	1.1915575	1	22	1	1	2	4	2	1	2	6
4377.67797	1.1915626	1	23	1	1	2	6	2	1	2	7
4378.877799	1.1915564	1	24	1	1	2	8	2	1	2	8
4380.077627	1.1915538	1	25	1	1	2	4	1	1	2	9
4381.277455	1.1915611	1	26	1	1	2	6	1	1	2	10
4382.477284	1.1915608	1	27	1	1	2	8	1	1	2	11
4383.67711	1.1915646	1	28	1	1	2	2	1	1	2	12
4384.876939	1.1915558	1	29	1	1	2	4	2	1	2	13
4386.076768	1.1916017	1	30	1	1	2	6	2	1	2	14
4387.276633	1.1915778	1	31	1	1	2	8	2	1	2	15
4388.476473	1.1915531	1	32	1	1	2	2	2	1	2	16
4389.676262	1.1915948	1	33	1	1	2	4	1	1	2	17
4390.876114	1.191525	1	34	1	1	2	6	1	1	2	18
4392.075948	1.1919403	1	35	1	1	2	8	1	1	2	19
4393.275769	1.191533	1	36	1	1	2	2	1	1	2	20
4394.475567	1.1915735	1	37	1	1	2	4	2	1	2	21
4395.675411	1.1915441	1	38	1	1	2	6	2	1	2	22
4396.875224	1.1915552	1	39	1	1	2	8	2	1	2	23
4398.075049	1.1915844	1	40	1	1	2	2	2	1	2	24
4399.274925	1.1915241	1	41	1	1	2	4	1	1	2	25
4400.474714	1.191575	1	42	1	1	2	6	1	1	2	26
4401.674541	1.1915486	1	43	1	1	2	8	1	1	2	27
4402.874368	1.191567	1	44	1	1	2	2	1	1	2	28
4404.074208	1.1915424	1	45	1	1	2	4	2	1	2	29
4405.274032	1.1915808	1	46	1	1	2	6	2	1	2	30
4406.473886	1.1915313	1	47	1	1	2	8	2	1	2	31
4407.673667	1.1916096	1	48	1	1	2	2	2	1	2	32
4408.873514	1.1915803	1	49	1	3	3	17	3	2	3	1
4410.07335	1.191551	1	50	1	3	3	17	3	2	3	2
4411.273176	1.1915444	1	51	1	3	3	17	3	2	3	3
4412.473061	1.1915251	1	52	1	3	3	17	3	2	3	4
4413.672841	1.191525	1	53	1	3	3	17	3	2	3	5
4414.872633	1.1915762	1	54	1	3	3	17	3	2	3	6
4416.072474	1.1916239	1	55	1	3	3	17	3	2	3	7
4417.27229	1.1915601	1	56	1	3	3	17	3	2	3	8
4418.472122	1.1915645	1	57	1	3	3	17	3	2	3	9
4419.67198	1.1915244	1	58	1	3	3	17	3	2	3	10
4420.871774	1.1915588	1	59	1	3	3	17	3	2	3	11
4422.071601	1.1915639	1	60	1	3	3	17	3	2	3	12
4423.27143	1.1915565	1	61	1	3	3	17	3	2	3	13
4424.47126	1.1915587	1	62	1	3	3	17	3	2	3	14
4425.671149	1.1915097	1	63	1	3	3	17	3	2	3	15
4426.870917	1.1915894	1	64	1	3	3	17	3	2	3	16
4428.070766	1.1915341	1	65	1	1	1	2	1	1	4	1
4429.270567	1.191558	1	66	1	1	1	8	1	1	4	2
4430.470398	1.1915545	1	67	1	1	1	6	1	1	4	3
4431.670224	1.1915569	1	68	1	1	1	4	1	1	4	4
4432.870054	1.1915475	1	69	1	1	1	2	2	1	4	5
4434.069881	1.1915587	1	70	1	1	1	8	2	1	4	6
4435.269711	1.1915635	1	71	1	1	1	6	2	1	4	7
4436.469539	1.191559	1	72	1	1	1	4	2	1	4	8
4437.669368	1.1915844	1	73	1	1	1	8	1	1	4	9
4438.869222	1.1915344	1	74	1	1	1	6	1	1	4	10
4440.069025	1.191556	1	75	1	1	1	4	1	1	4	11
4441.268858	1.191583	1	76	1	1	1	2	1	1	4	12
4442.46871	1.1915281	1	77	1	1	1	8	2	1	4	13
