onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
21751.67769	1.2325135	1	1	1	3	3	17	3	2	1	1
21752.91714	1.193811	1	2	1	3	3	17	3	2	1	2
21754.11759	1.1935688	1	3	1	3	3	17	3	2	1	3
21755.31795	1.1934918	1	4	1	3	3	17	3	2	1	4
21756.51919	1.1938521	1	5	1	3	3	17	3	2	1	5
21757.71961	1.1927209	1	6	1	3	3	17	3	2	1	6
21758.91907	1.1934298	1	7	1	3	3	17	3	2	1	7
21760.1196	1.193221	1	8	1	3	3	17	3	2	1	8
21761.31988	1.1936798	1	9	1	3	3	17	3	2	1	9
21762.52033	1.1935576	1	10	1	3	3	17	3	2	1	10
21763.7207	1.1934044	1	11	1	3	3	17	3	2	1	11
21764.92111	1.1932524	1	12	1	3	3	17	3	2	1	12
21766.12151	1.1936172	1	13	1	3	3	17	3	2	1	13
21767.32194	1.1939278	1	14	1	3	3	17	3	2	1	14
21768.52241	1.1931524	1	15	1	3	3	17	3	2	1	15
21769.72277	1.1934996	1	16	1	3	3	17	3	2	1	16
21770.94076	1.1926458	1	17	1	1	2	2	1	1	2	1
21772.14024	1.1934357	1	18	1	1	2	4	1	1	2	2
21773.3407	1.1932265	1	19	1	1	2	6	1	1	2	3
21774.5411	1.1935172	1	20	1	1	2	8	1	1	2	4
21775.74152	1.193841	1	21	1	1	2	2	2	1	2	5
21776.94184	1.1932862	1	22	1	1	2	4	2	1	2	6
21778.14229	1.1935262	1	23	1	1	2	6	2	1	2	7
21779.34271	1.1933832	1	24	1	1	2	8	2	1	2	8
21780.54311	1.1932506	1	25	1	1	2	4	1	1	2	9
21781.74358	1.1934484	1	26	1	1	2	6	1	1	2	10
21782.94394	1.1933426	1	27	1	1	2	8	1	1	2	11
21784.14438	1.193576	1	28	1	1	2	2	1	1	2	12
21785.34477	1.1934632	1	29	1	1	2	4	2	1	2	13
21786.54516	1.1933303	1	30	1	1	2	6	2	1	2	14
21787.74591	1.1932899	1	31	1	1	2	8	2	1	2	15
21788.946	1.1934592	1	32	1	1	2	2	2	1	2	16
21790.14664	1.1930954	1	33	1	1	2	4	1	1	2	17
21791.34713	1.1933183	1	34	1	1	2	6	1	1	2	18
21792.54724	1.1934316	1	35	1	1	2	8	1	1	2	19
21793.74767	1.1938688	1	36	1	1	2	2	1	1	2	20
21794.94826	1.1929665	1	37	1	1	2	4	2	1	2	21
21796.14855	1.1933785	1	38	1	1	2	6	2	1	2	22
21797.3489	1.1933361	1	39	1	1	2	8	2	1	2	23
21798.54926	1.1933037	1	40	1	1	2	2	2	1	2	24
21799.75017	1.193083	1	41	1	1	2	4	1	1	2	25
21800.95009	1.1933335	1	42	1	1	2	6	1	1	2	26
21802.1505	1.1920983	1	43	1	1	2	8	1	1	2	27
21803.35227	1.1907104	1	44	1	1	2	2	1	1	2	28
21804.55247	1.1909649	1	45	1	1	2	4	2	1	2	29
21805.75327	1.1905657	1	46	1	1	2	6	2	1	2	30
21806.95362	1.1905974	1	47	1	1	2	8	2	1	2	31
21808.15434	1.1903541	1	48	1	1	2	2	2	1	2	32
21809.36134	1.1934818	1	49	1	3	3	17	3	2	3	1
21810.5617	1.1938018	1	50	1	3	3	17	3	2	3	2
21811.7621	1.193755	1	51	1	3	3	17	3	2	3	3
21812.96254	1.1935462	1	52	1	3	3	17	3	2	3	4
21814.16296	1.1936303	1	53	1	3	3	17	3	2	3	5
21815.3638	1.1930997	1	54	1	3	3	17	3	2	3	6
21816.56378	1.1934086	1	55	1	3	3	17	3	2	3	7
21817.76415	1.1933345	1	56	1	3	3	17	3	2	3	8
21818.96456	1.1932417	1	57	1	3	3	17	3	2	3	9
21820.16496	1.19364	1	58	1	3	3	17	3	2	3	10
21821.36542	1.1935362	1	59	1	3	3	17	3	2	3	11
21822.56614	1.1931212	1	60	1	3	3	17	3	2	3	12
21823.76624	1.1939705	1	61	1	3	3	17	3	2	3	13
21824.96705	1.1930711	1	62	1	3	3	17	3	2	3	14
21826.1673	1.1932046	1	63	1	3	3	17	3	2	3	15
21827.36791	1.193193	1	64	1	3	3	17	3	2	3	16
21828.57805	1.1917355	1	65	1	1	1	2	1	1	4	1
21829.7766	1.1935024	1	66	1	1	1	8	1	1	4	2
21830.97703	1.1933685	1	67	1	1	1	6	1	1	4	3
21832.17746	1.1931906	1	68	1	1	1	4	1	1	4	4
21833.37781	1.1936494	1	69	1	1	1	2	2	1	4	5
21834.57826	1.1935955	1	70	1	1	1	8	2	1	4	6
21835.77868	1.1934892	1	71	1	1	1	6	2	1	4	7
21836.97903	1.1933675	1	72	1	1	1	4	2	1	4	8
21838.17986	1.1929383	1	73	1	1	1	8	1	1	4	9
21839.37991	1.19324	1	74	1	1	1	6	1	1	4	10
21840.58028	1.1937899	1	75	1	1	1	4	1	1	4	11
21841.78098	1.1934973	1	76	1	1	1	2	1	1	4	12
21842.9815	1.1932656	1	77	1	1	1	8	2	1	4	13
21844.18155	1.193581	1	78	1	1	1	6	2	1	4	14
21845.38206	1.1934341	1	79	1	1	1	4	2	1	4	15
21846.58233	1.1934505	1	80	1	1	1	2	2	1	4	16
21847.78275	1.1932597	1	81	1	1	1	8	1	1	4	17
21848.98315	1.193709	1	82	1	1	1	6	1	1	4	18
21850.18371	1.1937093	1	83	1	1	1	4	1	1	4	19
21851.3844	1.1931503	1	84	1	1	1	2	1	1	4	20
21852.58443	1.1934392	1	85	1	1	1	8	2	1	4	21
21853.78484	1.1932756	1	86	1	1	1	6	2	1	4	22
21854.98521	1.1936102	1	87	1	1	1	4	2	1	4	23
21856.18564	1.1934786	1	88	1	1	1	2	2	1	4	24
21857.38603	1.1940431	1	89	1	1	1	8	1	1	4	25
21858.58684	1.1930163	1	90	1	1	1	6	1	1	4	26
21859.78686	1.1937329	1	91	1	1	1	4	1	1	4	27
21860.98729	1.1935825	1	92	1	1	1	2	1	1	4	28
21862.18771	1.1934151	1	93	1	1	1	8	2	1	4	29
21863.38849	1.1936917	1	94	1	1	1	6	2	1	4	30
21864.58895	1.193084	1	95	1	1	1	4	2	1	4	31
21865.78893	1.1936578	1	96	1	1	1	2	2	1	4	32
21867.00801	1.1914827	1	97	1	3	3	17	3	2	5	1
21868.20672	1.1931946	1	98	1	3	3	17	3	2	5	2
21869.40699	1.1932504	1	99	1	3	3	17	3	2	5	3
21870.60721	1.1933294	1	100	1	3	3	17	3	2	5	4
21871.80764	1.1936093	1	101	1	3	3	17	3	2	5	5
21873.00802	1.1935656	1	102	1	3	3	17	3	2	5	6
21874.20847	1.1933401	1	103	1	3	3	17	3	2	5	7
21875.40885	1.1931846	1	104	1	3	3	17	3	2	5	8
21876.60926	1.1935001	1	105	1	3	3	17	3	2	5	9
21877.80971	1.1933301	1	106	1	3	3	17	3	2	5	10
21879.01009	1.1937377	1	107	1	3	3	17	3	2	5	11
21880.2105	1.1935704	1	108	1	3	3	17	3	2	5	12
21881.41089	1.1933617	1	109	1	3	3	17	3	2	5	13
21882.61134	1.1932107	1	110	1	3	3	17	3	2	5	14
21883.81173	1.1935264	1	111	1	3	3	17	3	2	5	15
21885.01224	1.1932374	1	112	1	3	3	17	3	2	5	16
21886.22289	1.191317	1	113	1	1	2	2	1	1	6	1
21887.42127	1.1936749	1	114	1	1	2	4	1	1	6	2
21888.6217	1.1934885	1	115	1	1	2	6	1	1	6	3
21889.82235	1.193095	1	116	1	1	2	8	1	1	6	4
21891.02254	1.1935997	1	117	1	1	2	2	2	1	6	5
21892.22305	1.1933603	1	118	1	1	2	4	2	1	6	6
21893.42332	1.1938498	1	119	1	1	2	6	2	1	6	7
21894.62376	1.1936093	1	120	1	1	2	8	2	1	6	8
21895.82415	1.1939505	1	121	1	1	2	4	1	1	6	9
21897.02511	1.1935096	1	122	1	1	2	6	1	1	6	10
21898.2253	1.1933008	1	123	1	1	2	8	1	1	6	11
21899.42566	1.193624	1	124	1	1	2	2	1	1	6	12
21900.62612	1.1935654	1	125	1	1	2	4	2	1	6	13
21901.8266	1.1935097	1	126	1	1	2	6	2	1	6	14
21903.02702	1.1932851	1	127	1	1	2	8	2	1	6	15
21904.22703	1.1934987	1	128	1	1	2	2	2	1	6	16
21905.42753	1.1932189	1	129	1	1	2	4	1	1	6	17
21906.62787	1.1936638	1	130	1	1	2	6	1	1	6	18
21907.8283	1.1938846	1	131	1	1	2	8	1	1	6	19
21909.02873	1.1937248	1	132	1	1	2	2	1	1	6	20
21910.22909	1.1935504	1	133	1	1	2	4	2	1	6	21
21911.42956	1.1933363	1	134	1	1	2	6	2	1	6	22
21912.62989	1.19331	1	135	1	1	2	8	2	1	6	23
21913.83036	1.1920237	1	136	1	1	2	2	2	1	6	24
21915.0319	1.1909071	1	137	1	1	2	4	1	1	6	25
21916.23266	1.1905462	1	138	1	1	2	6	1	1	6	26
21917.43282	1.1908829	1	139	1	1	2	8	1	1	6	27
21918.63314	1.1909102	1	140	1	1	2	2	1	1	6	28
21919.83384	1.1906497	1	141	1	1	2	4	2	1	6	29
21921.0341	1.1907557	1	142	1	1	2	6	2	1	6	30
21922.23434	1.1909196	1	143	1	1	2	8	2	1	6	31
21923.43508	1.1906476	1	144	1	1	2	2	2	1	6	32
21924.63533	1.1907663	1	145	1	3	3	17	3	2	7	1
21925.8355	1.1910275	1	146	1	3	3	17	3	2	7	2
21927.03626	1.1906334	1	147	1	3	3	17	3	2	7	3
21928.23646	1.1908272	1	148	1	3	3	17	3	2	7	4
21929.43721	1.1905171	1	149	1	3	3	17	3	2	7	5
21930.63748	1.1906058	1	150	1	3	3	17	3	2	7	6
21931.83775	1.1908195	1	151	1	3	3	17	3	2	7	7
21933.038	1.190951	1	152	1	3	3	17	3	2	7	8
21934.23866	1.1907353	1	153	1	3	3	17	3	2	7	9
21935.43889	1.1908933	1	154	1	3	3	17	3	2	7	10
21936.63968	1.1904609	1	155	1	3	3	17	3	2	7	11
21937.83996	1.1918295	1	156	1	3	3	17	3	2	7	12
21939.03891	1.193512	1	157	1	3	3	17	3	2	7	13
21940.23936	1.1933232	1	158	1	3	3	17	3	2	7	14
21941.43975	1.1936114	1	159	1	3	3	17	3	2	7	15
