onset	duration	run_number	trial_number	task	trial_type	eyemov_direction	eyemov_start_pos	eyemov_vis_end	eyemov_amplitude	sequence_num	sequence_trial
n/a	n/a	1	1	1	3	3	17	3	2	3121345.919	3121347.11
n/a	n/a	1	2	1	3	3	17	3	2	3121347.118	3121348.308
n/a	n/a	1	3	1	3	3	17	3	2	3121348.317	3121349.507
n/a	n/a	1	4	1	3	3	17	3	2	3121349.516	3121350.706
n/a	n/a	1	5	1	3	3	17	3	2	3121350.715	3121351.906
n/a	n/a	1	6	1	3	3	17	3	2	3121351.913	3121353.103
n/a	n/a	1	7	1	3	3	17	3	2	3121353.112	3121354.302
n/a	n/a	1	8	1	3	3	17	3	2	3121354.311	3121355.501
n/a	n/a	1	9	1	3	3	17	3	2	3121355.509	3121356.7
n/a	n/a	1	10	1	3	3	17	3	2	3121356.708	3121357.899
n/a	n/a	1	11	1	3	3	17	3	2	3121357.907	3121359.097
n/a	n/a	1	12	1	3	3	17	3	2	3121359.106	3121360.296
n/a	n/a	1	13	1	3	3	17	3	2	3121360.304	3121361.495
n/a	n/a	1	14	1	3	3	17	3	2	3121361.503	3121362.694
n/a	n/a	1	15	1	3	3	17	3	2	3121362.702	3121363.893
n/a	n/a	1	16	1	3	3	17	3	2	3121363.901	3121365.091
n/a	n/a	1	17	1	1	2	2	1	1	3121365.117	3121366.307
n/a	n/a	1	18	1	1	2	10	1	1	3121366.315	3121367.506
n/a	n/a	1	19	1	1	2	2	2	1	3121367.514	3121368.704
n/a	n/a	1	20	1	1	2	10	2	1	3121368.713	3121369.903
n/a	n/a	1	21	1	1	2	2	1	1	3121369.912	3121371.102
n/a	n/a	1	22	1	1	2	10	1	1	3121371.11	3121372.301
n/a	n/a	1	23	1	1	2	2	2	1	3121372.309	3121373.5
n/a	n/a	1	24	1	1	2	10	2	1	3121373.508	3121374.699
n/a	n/a	1	25	1	1	2	10	1	1	3121374.707	3121375.897
n/a	n/a	1	26	1	1	2	2	1	1	3121375.906	3121377.096
n/a	n/a	1	27	1	1	2	10	2	1	3121377.104	3121378.295
n/a	n/a	1	28	1	1	2	2	2	1	3121378.303	3121379.494
n/a	n/a	1	29	1	1	2	10	1	1	3121379.502	3121380.692
n/a	n/a	1	30	1	1	2	2	1	1	3121380.701	3121381.891
n/a	n/a	1	31	1	1	2	10	2	1	3121381.9	3121383.09
n/a	n/a	1	32	1	1	2	2	2	1	3121383.098	3121384.289
n/a	n/a	1	33	1	1	2	10	1	1	3121384.297	3121385.488
n/a	n/a	1	34	1	1	2	2	1	1	3121385.496	3121386.686
n/a	n/a	1	35	1	1	2	10	2	1	3121386.695	3121387.885
n/a	n/a	1	36	1	1	2	2	2	1	3121387.894	3121389.084
n/a	n/a	1	37	1	1	2	10	1	1	3121389.092	3121390.283
n/a	n/a	1	38	1	1	2	2	1	1	3121390.291	3121391.482
n/a	n/a	1	39	1	1	2	10	2	1	3121391.49	3121392.68
n/a	n/a	1	40	1	1	2	2	2	1	3121392.689	3121393.879
n/a	n/a	1	41	1	1	2	10	1	1	3121393.888	3121395.078
n/a	n/a	1	42	1	1	2	2	1	1	3121395.086	3121396.277
n/a	n/a	1	43	1	1	2	10	2	1	3121396.285	3121397.476
n/a	n/a	1	44	1	1	2	2	2	1	3121397.484	3121398.674
n/a	n/a	1	45	1	1	2	10	1	1	3121398.683	3121399.873
n/a	n/a	1	46	1	1	2	2	1	1	3121399.881	3121401.072
n/a	n/a	1	47	1	1	2	10	2	1	3121401.08	3121402.271
n/a	n/a	1	48	1	1	2	2	2	1	3121402.279	3121403.47
n/a	n/a	1	49	1	3	3	17	3	2	3121403.478	3121404.668
n/a	n/a	1	50	1	3	3	17	3	2	3121404.677	3121405.867
n/a	n/a	1	51	1	3	3	17	3	2	3121405.875	3121407.066
n/a	n/a	1	52	1	3	3	17	3	2	3121407.074	3121408.265
n/a	n/a	1	53	1	3	3	17	3	2	3121408.273	3121409.464
n/a	n/a	1	54	1	3	3	17	3	2	3121409.472	3121410.662
n/a	n/a	1	55	1	3	3	17	3	2	3121410.671	3121411.861
n/a	n/a	1	56	1	3	3	17	3	2	3121411.869	3121413.06
n/a	n/a	1	57	1	3	3	17	3	2	3121413.068	3121414.259
n/a	n/a	1	58	1	3	3	17	3	2	3121414.267	3121415.458
n/a	n/a	1	59	1	3	3	17	3	2	3121415.466	3121416.656
n/a	n/a	1	60	1	3	3	17	3	2	3121416.665	3121417.855
n/a	n/a	1	61	1	3	3	17	3	2	3121417.863	3121419.054
n/a	n/a	1	62	1	3	3	17	3	2	3121419.062	3121420.253
n/a	n/a	1	63	1	3	3	17	3	2	3121420.261	3121421.452
n/a	n/a	1	64	1	3	3	17	3	2	3121421.46	3121422.65
n/a	n/a	1	65	1	1	1	2	1	1	3121422.659	3121423.849
n/a	n/a	1	66	1	1	1	10	1	1	3121423.857	3121425.048
n/a	n/a	1	67	1	1	1	2	2	1	3121425.056	3121426.247
n/a	n/a	1	68	1	1	1	10	2	1	3121426.255	3121427.445
n/a	n/a	1	69	1	1	1	2	1	1	3121427.454	3121428.644
n/a	n/a	1	70	1	1	1	10	1	1	3121428.653	3121429.843
